fam,tf,period,mult,side,n_tr_months,total_all,mean_in_bleed,mean_normal,hedge_edge,wr_bleed,mIS,mOOS,tot_bleed,squeeze
bb,H4,10,1.5,both,121,-82438.3322726338,-326.802925051347,-755.7547084655552,428.95178341420814,0.3333333333333333,-181.63231718951067,-486.49059369936697,-6862.861426078288,
bb,H4,10,1.5,long,121,-40523.44277208165,-234.25158210565198,-356.04159547862963,121.79001337297765,0.3333333333333333,-5.711782814679282,-485.6453613257219,-4919.283224218691,
bb,H4,10,1.5,short,121,-48975.88657464783,-146.1489799190006,-459.06757996348824,312.9186000444877,0.42857142857142855,-203.34933213228297,-83.22859248438999,-3069.1285782990126,
bb,H4,10,2.0,both,121,-62760.95259203529,-329.0777314599626,-558.5032023137607,229.42547085379806,0.38095238095238093,-80.89445862667088,-602.0793315765834,-6910.632360659214,
bb,H4,10,2.0,long,121,-28488.906418708564,-167.3383388439355,-249.74801302985918,82.40967418592368,0.3333333333333333,47.24087423636584,-403.375473232267,-3514.1051157226457,
bb,H4,10,2.0,short,121,-36980.10188062181,-183.907812295335,-331.1803782241978,147.2725659288628,0.42857142857142855,-137.78836135560547,-234.6392083290375,-3862.064058202035,
bb,H4,10,2.5,both,121,-21846.5117460173,-31.239145446015147,-211.9048969165098,180.66575147049465,0.5238095238095238,7.615560389851288,-73.97932186546822,-656.0220543663181,
bb,H4,10,2.5,long,121,-13073.09258561616,-92.49458833589225,-111.3070623056242,18.812473969731954,0.38095238095238093,-69.26103551709076,-118.05149643657387,-1942.3863550537371,
bb,H4,10,2.5,short,121,-9059.4308335146,61.32051730215434,-103.47161696859841,164.79213427075274,0.6190476190476191,78.89541701712469,41.98812761568697,1287.7308633452412,
bb,H4,20,1.5,both,121,-63468.29311162823,-367.3367802152784,-557.5422072710738,190.20542705579544,0.38095238095238093,-284.97964055033754,-457.9296338467133,-7714.072384520846,
bb,H4,20,1.5,long,121,-27791.980622710907,-141.81788779510686,-248.13804979013665,106.32016199502979,0.3333333333333333,-89.56901118258652,-199.2916520688792,-2978.1756436972437,
bb,H4,20,1.5,short,121,-39429.53999767033,-255.11869200138625,-340.7204746564122,85.60178265502594,0.3333333333333333,-217.79550924304303,-296.1741930355638,-5357.492532029111,
bb,H4,20,2.0,both,121,-58199.89980447289,-348.4229459787179,-508.83017938919807,160.40723341048016,0.42857142857142855,-276.7709294082766,-427.24016420620336,-7316.881865553076,
bb,H4,20,2.0,long,121,-24971.833593976513,-173.23010445640543,-213.34001400391998,40.10990954751455,0.3333333333333333,-145.8774492432053,-203.31802519092562,-3637.8321935845142,
bb,H4,20,2.0,short,121,-35712.65501015958,-199.46969248160315,-315.23791468045914,115.768222198856,0.2857142857142857,-146.6177462755634,-257.60683330824685,-4188.863542113666,
bb,H4,20,2.5,both,121,-38777.84401245015,-348.4354007367604,-314.6070059697818,-33.82839476697859,0.38095238095238093,-160.7211731221473,-554.9210511128349,-7317.143415471969,
bb,H4,20,2.5,long,121,-17648.926195166438,-159.54227523008916,-142.98538415334565,-16.55689107674351,0.2857142857142857,-75.40205350242269,-252.0965191305223,-3350.3877798318726,
bb,H4,20,2.5,short,121,-21923.100537271042,-195.03085921425216,-178.2745249377175,-16.75633427653466,0.2857142857142857,-87.48160708208756,-313.33503655963324,-4095.6480434992955,
bb,H4,20,3.0,both,121,-18369.100668358056,-29.92710444534398,-177.4063147500583,147.47921030471431,0.5238095238095238,139.30278190297594,-216.07997942849588,-628.4691933522236,
bb,H4,20,3.0,long,120,-10289.50396048412,-101.09095590146708,-81.66593886553312,-19.425017035933962,0.2857142857142857,-54.494199132294106,-152.34738834755734,-2122.9100739308087,
bb,H4,20,3.0,short,120,-8227.477640178222,71.14979979753393,-97.21623435926435,168.36603415679826,0.47619047619047616,192.61236997686302,-62.45902739972807,1494.1457957482125,
bb,H4,40,1.5,both,121,-58500.19676851882,61.55335140061176,-597.9281714793167,659.4815228799284,0.47619047619047616,61.09166717789578,62.06120404559933,1292.620379412847,
bb,H4,40,1.5,long,121,-24183.519120480443,-18.542122250124606,-237.9413455322782,219.3992232821536,0.38095238095238093,-7.180282885500177,-31.04014555121148,-389.38456725261676,
bb,H4,40,1.5,short,121,-35941.94020000019,73.25833699122475,-374.80365276815905,448.0619897593838,0.38095238095238093,34.931326052106506,115.41804902425483,1538.4250768157199,
bb,H4,40,2.0,both,121,-58413.840640833856,-5.910327499281439,-582.8972376334895,576.986910134208,0.5238095238095238,79.00372595036532,-99.31578629389287,-124.11687748491022,
bb,H4,40,2.0,long,121,-26822.366740832524,-43.12497245994287,-259.16742319173727,216.04245073179442,0.38095238095238093,-16.68755383529242,-72.20613294705836,-905.6244216588002,
bb,H4,40,2.0,short,121,-33012.1343816301,36.41806499769787,-337.76913746581755,374.1872024635154,0.38095238095238093,72.13373638522667,-2.869173528583815,764.7793649516552,
bb,H4,40,2.5,both,121,-41187.85482252192,-42.27745024808718,-403.00028367312086,360.7228334250337,0.38095238095238093,32.373813763520296,-124.3938406608554,-887.8264552098308,
bb,H4,40,2.5,long,121,-18176.981251014637,-39.13959831814507,-173.55049686333595,134.4108985451909,0.3333333333333333,-20.823774497163456,-59.287004521224844,-821.9315646810464,
bb,H4,40,2.5,short,121,-23333.983683490937,1.707171530880736,-233.6983428563943,235.40551438727505,0.5238095238095238,44.96332373330965,-45.87459589179107,35.850602148495454,
bb,H4,40,3.0,both,121,-25881.690046446893,-131.81631108607954,-231.1354751363922,99.31916405031265,0.38095238095238093,-104.49357121361795,-161.87132494578728,-2768.1425328076702,
bb,H4,40,3.0,long,121,-12963.283373415277,-138.73294284950472,-100.49891573575677,-38.234027113747956,0.23809523809523808,-121.96094645660229,-157.1821388816974,-2913.391799839599,
bb,H4,40,3.0,short,121,-12982.18998598392,4.705660387079704,-130.81008854112594,135.51574892820565,0.47619047619047616,14.271856658095864,-5.817155511038072,98.81886812867378,
bb,H4,60,1.5,both,121,-48211.406861710704,100.19713899722176,-503.1554678065236,603.3526068037453,0.6666666666666666,105.7903368967532,94.04462130773717,2104.139918941657,
bb,H4,60,1.5,long,121,-22714.5806222171,-49.95642972768443,-216.65495597935725,166.69852625167283,0.47619047619047616,-12.422544311122776,-91.24370368590226,-1049.085024281373,
bb,H4,60,1.5,short,121,-26250.667058878895,142.07721573841403,-292.3428858938559,434.42010163226996,0.5238095238095238,96.38475651213759,192.3389208873181,2983.6215305066944,
bb,H4,60,2.0,both,121,-43138.759682488155,83.77026939094819,-448.9793533969807,532.7496227879288,0.5714285714285714,218.2328567788044,-64.13857673569365,1759.175657209912,
bb,H4,60,2.0,long,121,-21328.82466226461,-51.83982818573254,-202.40188270364234,150.56205451790981,0.42857142857142855,63.868081900798394,-179.11852928091656,-1088.6363919003834,
bb,H4,60,2.0,short,121,-22036.369488983924,132.91087509126305,-248.27497865900455,381.1858537502676,0.47619047619047616,137.41553547272187,127.95574867165833,2791.128376916524,
bb,H4,60,2.5,both,121,-32953.826751947236,93.4532998672667,-349.1634604915983,442.616760358865,0.6190476190476191,266.01050088320625,-96.35962125026681,1962.5192972126006,
bb,H4,60,2.5,long,121,-14487.571179798475,46.51295687106133,-154.64343274090766,201.156389611969,0.5238095238095238,102.52674187511069,-15.102206633392962,976.7720942922879,
