year,d0,d1,diff
2016,0.20158034734955188,0.1897873425307055,-0.011793004818846375
2017,0.2923815479362257,0.3390651659299839,0.0466836179937582
2018,0.14051611814092246,0.08665574964107448,-0.05386036849984799
2019,0.2692938797714892,0.21718215234089455,-0.05211172743059467
2020,0.2297937401306933,0.25212785413882854,0.02233411400813523
2021,0.017887860939187483,0.04871430141812261,0.030826440478935124
2022,0.3689549563256591,0.35503613826584135,-0.013918818059817761
2023,0.2931447763185222,0.35280323405034175,0.05965845773181955
2024,0.29872706184017916,0.32858512771507176,0.029858065874892592
2025,0.27918039548820506,0.3027351477060576,0.023554752217852526
2026,0.09261994783434302,0.09338004087882856,0.0007600930444855436
