cfg,emp_k,emp_cagr,emp_p95,rob_s0,rob_mean,worst_year,neg_emp,gain_pp,all_seeds_pos,signature,g3_2021,g3_2022,g3_2023,g5_keep_emp
base,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18182788740243994,0.18570569990428448,0.05207689463833454,0,,,,,,,
dzdown_c05,9.285800409317016,0.2835219135885487,-0.2806259759878181,0.1869522101748482,0.1855523204523243,0.06936031051892533,0,-0.015337945196017277,False,True,False,True,False,0.612218481960104
dzdown_c10,9.307543673515319,0.2799492246901618,-0.282818663612301,0.1826163334351143,0.18019791580881628,0.07851578932318937,0,-0.5507784095468204,False,True,False,False,False,-0.02619363706973216
rwdown,8.97311954498291,0.2682856064005439,-0.2751351660575171,0.1815126277042447,,0.0662626845651173,0,,,,,,,
tent,10.122590332031251,0.32279784310886805,-0.30212376125234947,0.19377248003160807,0.19595220907961147,0.07803937727244814,0,1.024650917532699,True,True,False,False,True,0.7661744453494673
rangedown,8.85841401576996,0.27656730800025464,-0.27407475270421794,0.18722852553940705,0.18701157848907352,0.06240526903500543,0,0.1305878584789033,False,False,False,False,False,-0.2778335619887081
