dly,n,sum_ret,diff,diff_pct,pf,win,dropped,dropped_ret_sum,diff_is,diff_oos,diff_long,diff_short,best_year,best_year_diff,excl_best,excl_2022,neg_years_pool
1,1207,1.96224087528572,0.05365577005262498,2.8112632323496265,1.7668600580172458,0.7166528583264291,7,0.06159532861921827,-0.008010140700745128,0.06166591075337011,0.06274657489934993,-0.009090804846724955,2017,0.02154665481821525,0.03210911523440973,0.03702623905590524,0
2,1197,2.079444227136356,0.17085912190326086,8.95206548796295,1.858497487704746,0.7134502923976608,17,0.1349514863541314,0.12084787989657327,0.05001124200668761,0.18014528714233563,-0.009286165239074752,2020,0.15066421209487227,0.020194909808388575,0.1251747793323475,0
3,1178,1.9952772371379157,0.08669213190482053,4.542184423389947,1.870642307426354,0.7249575551782682,36,0.2733774646455164,0.14709976453109685,-0.06040763262627631,0.1841160233961901,-0.09742389149136955,2020,0.09781849369220758,-0.011126361787387021,0.05938578335359877,0
