cfg,emp_k,emp_cagr,emp_p95,rob_mean,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,is_rob,oos_rob,is_emp,oos_emp,worst_year,m1_ratio,m1_haircut,eff_cagr,gate_gain_pp,gate_all_seeds_pos,gate_signature,gate_g3_oos_raw_both,gate_g4_years,gate_g5_emp_keep,gate_g5_rob0_keep,gate_g5_excl2022_emp,gate_sig_seeds
base,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18570569990428448,0.18182788740243994,0.18735778520259116,0.17977685346069183,0.19099826683985555,0.188567706615844,0.15536610254819716,0.24655925861490346,0.26771891074524823,0.4409057601939299,0.05207689463833454,1.047683241618161,0.9544869673160817,0.17669941719575788,,,,,,,,,
0.003,6.443425817489624,0.2646157123611286,-0.255380028700702,0.19312599430386346,0.1938882522614429,0.1905314095017634,0.1919631841531415,0.1972943971976744,0.1919527284052951,0.16607976266029212,0.25336622822963784,0.2747463495294935,0.4329899696346893,0.05189310885269505,1.0412782727471652,0.9603580773482748,0.18495533542497689,0.7420294399578975,True,False,False,True,,0.7781977075819706,-0.08656998146493566,0.0
0.005,7.197151670455931,0.25656697977138543,-0.253364893289047,0.18908381060342894,0.18729200947678093,0.18843570693412293,0.1846720045158623,0.19378430867769958,0.19123502341267895,0.16245591177346808,0.2505299610480505,0.2763958882763433,0.44152939861504503,0.05176260917739817,1.0430523784311332,0.9587246246483914,0.18076207150210122,0.3378110699144454,True,False,True,True,,0.5825134656878249,-0.135960965807278,0.0
0.0075,8.409410085678099,0.273899032004123,-0.26801853255328634,0.18872073934321948,0.18529588148688458,0.1899385129176936,0.18291821617371462,0.19469473104353918,0.19075635509426547,0.1573447166505888,0.24767278554904948,0.27350971794647005,0.4473173587374879,0.05214581979005728,1.0420649582809236,0.9596330747458224,0.18059482683544914,0.30150394389349966,True,False,True,True,,0.42678036222381377,0.00043361375720785134,0.0
0.01,8.867668333053588,0.28040687888201,-0.2735545631015144,0.18891447958829577,0.18494373481236304,0.19008847824756137,0.1827362028207855,0.19514625763847748,0.19165772442229145,0.15712584844311794,0.24739694017929192,0.2732459874255957,0.4470380818482327,0.05233800506762143,1.0479799280265694,0.9542167490584296,0.17969128395892597,0.3208779684011287,True,False,True,True,0.5336437607757768,0.4122857013541356,0.050737559968592416,0.0
