pair,entry,exit,dir,entry_price,exit_price,pnl,return_pct,bars_held,hours,clv1,up_w,lo_w,wick_diff1,body1,wick_diff3,clv3,range_rel20,z,rsi,er,wick_support,clv_support,year,is_oos
EURUSD,2016-10-21 00:00:00+00:00,2016-10-26 04:00:00+00:00,Long,1.09047,1.09171,11.371243592211613,0.11371243592211613,20,124.0,0.2529761904761934,0.005952380952419895,0.2529761904761934,0.2470238095237735,-0.7410714285713866,0.07271025045411024,0.4199101372881738,1.2736921910538366,-2.261531887122475,23.45163535142524,0.2652559055118156,0.2470238095237735,-0.2529761904761934,2016,False
EURUSD,2017-01-23 20:00:00+00:00,2017-01-26 12:00:00+00:00,Short,1.07588,1.06715,81.14061585076706,0.8114287838792317,16,64.0,0.5605095541400967,0.43949044585990327,0.13694267515927802,-0.3025477707006252,0.42356687898081874,0.3065323143822055,0.7821620287453018,0.8647755439273331,2.14493132720981,70.80719364282679,0.18732782369145665,0.3025477707006252,0.5605095541400967,2017,False
EURUSD,2017-03-02 16:00:00+00:00,2017-03-03 12:00:00+00:00,Long,1.05018,1.05622,57.515593010522934,0.5751394998952624,5,20.0,0.20241691842899207,0.09063444108760539,0.20241691842899207,0.11178247734138667,-0.7069486404834026,0.20865288312185584,0.3862701740321528,1.1435481084815726,-2.105447407384125,25.425376762275775,0.01139554087531087,0.11178247734138667,-0.20241691842899207,2017,False
EURUSD,2017-03-27 04:00:00+00:00,2017-03-28 16:00:00+00:00,Short,1.08649,1.08133,47.491072414683,0.4749238373109864,9,36.0,0.7387096774193521,0.26129032258064794,0.11935483870967603,-0.1419354838709719,0.619354838709676,0.1305224636544132,0.7521213692041847,1.3860943438407713,2.1574067902519105,73.69077306733172,0.2201791607732138,0.1419354838709719,0.7387096774193521,2017,False
EURUSD,2017-05-04 12:00:00+00:00,2017-05-08 08:00:00+00:00,Short,1.09662,1.09383,25.44111612638335,0.2544181211358383,12,92.0,0.9524752475247489,0.04752475247525109,0.11485148514851981,0.06732673267326872,0.837623762376229,-0.020239937682586723,0.7576908817874775,2.2871376811594444,2.661828836983259,67.68402154398474,0.05663217309501256,-0.06732673267326872,0.9524752475247489,2017,False
EURUSD,2017-05-16 04:00:00+00:00,2017-05-26 08:00:00+00:00,Short,1.10286,1.11912,-147.4308407910121,-1.4743485120504807,50,244.0,0.8516260162601393,0.1483739837398606,0.038617886178843715,-0.1097560975610169,0.8130081300812957,-0.006397943441728023,0.8110500745755983,2.215717180815167,2.132321663264387,94.03973509933897,0.07565275608123193,0.1097560975610169,0.8516260162601393,2017,False
EURUSD,2017-07-11 16:00:00+00:00,2017-07-12 12:00:00+00:00,Short,1.14631,1.1410600000000002,45.79793080586751,0.45799129380357984,5,20.0,0.6822612085769852,0.31773879142301475,0.027290448343086336,-0.2904483430799284,0.6549707602338989,-0.3021524330464319,0.6786667029717725,2.587641866330379,2.343905145296925,72.2002635046116,0.16466634661545515,0.2904483430799284,0.6822612085769852,2017,False
EURUSD,2017-07-18 00:00:00+00:00,2017-07-20 08:00:00+00:00,Short,1.15275,1.14852,36.69390516837484,0.3669486011711051,14,56.0,0.8493975903614285,0.15060240963857155,0.028614457831312206,-0.12198795180725934,0.8207831325301163,-0.09963539693361907,0.573677603495709,2.4948337403719787,2.9764029093544653,79.03909561940567,0.22198198198197863,0.12198795180725934,0.8493975903614285,2017,False
EURUSD,2017-09-07 12:00:00+00:00,2017-09-11 12:00:00+00:00,Short,1.20261,1.19634,52.13530233486381,0.5213660288871754,13,96.0,0.7465224111282746,0.2534775888717255,0.34544049459041065,0.09196290571868515,0.40108191653786385,0.021610750786957744,0.7521528259555392,3.5954431786607906,2.1618046041730477,81.8221070811743,0.06137787056367432,-0.09196290571868515,0.7465224111282746,2017,False
EURUSD,2017-11-07 08:00:00+00:00,2017-11-09 08:00:00+00:00,Long,1.1570099999999999,1.16395,59.98375079949619,0.5998219548664325,12,48.0,0.39650872817953936,0.13715710723193042,0.39650872817953936,0.25935162094760894,-0.4663341645885302,0.255138684032807,0.4081332077668513,1.5581892364484327,-2.2891948331517504,24.416277518344685,0.08143767060964911,0.25935162094760894,-0.39650872817953936,2017,False
EURUSD,2018-01-24 08:00:00+00:00,2018-01-29 12:00:00+00:00,Short,1.23396,1.23568,-13.938524623375997,-0.13938863496385417,20,124.0,0.6418918918918963,0.35810810810810373,0.015765765765769033,-0.3423423423423347,0.6261261261261273,-0.06651345115226183,0.596570964061453,1.3391645302367647,2.5272531283665436,83.81010346926396,0.10473744292237282,0.3423423423423347,0.6418918918918963,2018,False
EURUSD,2018-05-02 16:00:00+00:00,2018-05-10 16:00:00+00:00,Long,1.19403,1.19249,-12.89782244556045,-0.12897498387812015,37,192.0,0.020618556701013622,0.6655211912944051,0.020618556701013622,-0.6449026345933915,-0.3138602520045813,-0.1722486896456238,0.18577813311263183,2.77981213182614,-2.148359514724763,16.273352999018144,0.44764901241042193,-0.6449026345933915,-0.020618556701013622,2018,False
EURUSD,2018-05-15 20:00:00+00:00,2018-05-22 04:00:00+00:00,Long,1.1820599999999999,1.1816900000000001,-3.1302082011443417,-0.03130128758268317,27,152.0,0.11627906976739383,0.16279069767445464,0.11627906976739383,-0.046511627907060815,-0.7209302325581516,0.08659508580620866,0.29648343837626145,1.0436893203883195,-2.0471156235350945,21.481140754369733,0.13223970539002394,-0.046511627907060815,-0.11627906976739383,2018,False
EURUSD,2018-05-25 08:00:00+00:00,2018-05-30 12:00:00+00:00,Long,1.16687,1.16635,-4.456480751432537,-0.04456366176182044,20,124.0,0.09078212290503555,0.6243016759776645,0.09078212290503555,-0.533519553072629,-0.28491620111729987,-0.15309453001028378,0.14654831720619063,2.043378995433751,-2.0867061403171223,25.82474226804321,0.26747164288327285,-0.533519553072629,-0.09078212290503555,2018,False
EURUSD,2018-08-06 08:00:00+00:00,2018-08-08 00:00:00+00:00,Long,1.15421,1.16183,66.02089795352549,0.6601918195129142,10,40.0,0.3155080213903569,0.07219251336898047,0.3155080213903569,0.24331550802137641,-0.6122994652406627,0.21215930039456876,0.5427761780702893,1.539728283244177,-2.0399789401057973,24.44190040068642,0.22683030046550876,0.24331550802137641,-0.3155080213903569,2018,False
EURUSD,2018-10-18 16:00:00+00:00,2018-10-22 04:00:00+00:00,Long,1.14548,1.15314,66.87328124318083,0.6687152983902075,10,84.0,0.11111111111113697,0.08385744234804283,0.11111111111113697,0.027253668763094138,-0.8050314465408202,-0.02876215889459696,0.2547699711040258,1.7543214417065522,-2.0284975803225125,15.082644628096503,0.06730277730447877,0.027253668763094138,-0.11111111111113697,2018,False
EURUSD,2018-10-26 08:00:00+00:00,2018-11-01 08:00:00+00:00,Long,1.13375,1.13943,50.10055392865979,0.5009922822491747,25,144.0,0.03761061946902851,0.10176991150440695,0.03761061946902851,-0.06415929203537844,-0.8606194690265645,0.05516628064082572,0.3330897331938807,1.6400580551523545,-2.0811110424379953,20.95444685466272,0.3045902248652604,-0.06415929203537844,-0.03761061946902851,2018,False
EURUSD,2018-12-20 08:00:00+00:00,2018-12-21 16:00:00+00:00,Short,1.1466100000000001,1.13694,84.33335658968826,0.8433556309468796,8,32.0,0.7406914893617149,0.2593085106382851,0.06781914893617186,-0.19148936170211323,0.6728723404255431,-0.029999680916608745,0.6428091633348011,2.409484139698808,3.0401534179451213,68.81503860355838,0.2388650610359612,0.19148936170211323,0.7406914893617149,2018,False
EURUSD,2019-01-09 12:00:00+00:00,2019-01-11 12:00:00+00:00,Short,1.15099,1.14776,28.06206668867526,0.28062798112928,12,48.0,0.6793650793650686,0.3206349206349314,0.10582010582009463,-0.21481481481483675,0.573544973544974,-0.1436428853095563,0.5531271531271474,2.977784780211114,2.0258607544811444,66.21384750219197,0.09374564702604768,0.21481481481483675,0.6793650793650686,2019,False
EURUSD,2019-01-24 16:00:00+00:00,2019-01-25 12:00:00+00:00,Long,1.12991,1.13969,86.55786455198904,0.8655556637254418,5,20.0,0.1456752655538783,0.01517450682852618,0.1456752655538783,0.13050075872535213,-0.8391502276175955,0.1659652735205679,0.3740948080901876,2.9210992907801665,-2.550143607078118,28.704366499638894,0.25829255029907866,0.13050075872535213,-0.1456752655538783,2019,False
EURUSD,2019-02-11 12:00:00+00:00,2019-02-18 00:00:00+00:00,Long,1.12763,1.13169,36.00567577155198,0.36004717859583385,28,156.0,0.08767772511847668,0.016587677725121475,0.08767772511847668,0.07109004739335521,-0.8957345971564018,0.10634067535490728,0.3670651743573759,2.456344586728776,-2.0826460278833316,28.14070351758781,0.5322580645161192,0.07109004739335521,-0.08767772511847668,2019,False
EURUSD,2019-06-21 16:00:00+00:00,2019-06-28 20:00:00+00:00,Short,1.13728,1.13684,3.868778081612618,0.03868880135058074,32,172.0,0.9224283305227815,0.07757166947721848,0.17032040472174653,0.09274873524452805,0.752107925801035,0.28929341708851525,0.8863060161203756,2.341097512830666,2.250420847536917,87.80596350689689,0.1571313456889607,-0.09274873524452805,0.9224283305227815,2019,False
EURUSD,2019-07-25 08:00:00+00:00,2019-07-30 08:00:00+00:00,Long,1.11147,1.11508,32.48038580580396,0.32479509118557187,19,120.0,0.024896265560145712,0.7074688796680575,0.024896265560145712,-0.6825726141079118,-0.26763485477179677,-0.1412278372223129,0.1425482266454383,2.863933452168621,-2.117947450888737,9.870388833501764,0.2922429344557968,-0.6825726141079118,-0.024896265560145712,2019,False
EURUSD,2019-08-30 00:00:00+00:00,2019-09-04 12:00:00+00:00,Long,1.10446,1.10242,-18.471066523003174,-0.18470564800898534,22,132.0,0.11864406779663143,0.05649717514123514,0.11864406779663143,0.062146892655396295,-0.8248587570621334,0.3623248262874686,0.5822300149360233,1.302907618697122,-2.1148191368302034,20.97186700767331,0.14064171122994562,0.062146892655396295,-0.11864406779663143,2019,False
EURUSD,2019-09-26 04:00:00+00:00,2019-10-02 12:00:00+00:00,Long,1.09448,1.09494,4.203024350132182,0.042029091440703964,27,152.0,0.16239316239308696,0.08547008547017063,0.16239316239308696,0.07692307692291633,-0.7521367521367424,0.0790488657899461,0.6059386910796162,1.196319018404918,-2.0646011309350976,33.22010869565446,0.2837958818263207,0.07692307692291633,-0.16239316239308696,2019,False
EURUSD,2019-12-27 12:00:00+00:00,2020-01-02 16:00:00+00:00,Short,1.11626,1.1166600000000002,-3.5832982468728005,-0.03583394549658357,21,148.0,0.5163204747774557,0.4836795252225443,0.059347181008893864,-0.42433234421365046,0.45697329376856183,-0.13911069498164294,0.7909815980655246,2.546278806195702,2.0837309118759415,85.25932666060044,0.13402802730865895,0.42433234421365046,0.5163204747774557,2019,False
EURUSD,2020-02-07 08:00:00+00:00,2020-02-21 12:00:00+00:00,Long,1.09521,1.08523,-91.1265728008184,-0.9112407666109722,63,340.0,0.175965665236065,0.18025751072956014,0.175965665236065,-0.00429184549349515,-0.6437768240343749,0.06505450339185674,0.3097967742567261,1.5293731539218756,-2.2172935654886508,15.907207953603972,0.18971848225213994,-0.00429184549349515,-0.175965665236065,2020,False
EURUSD,2020-08-05 12:00:00+00:00,2020-08-07 08:00:00+00:00,Short,1.18964,1.1818,65.90062790521733,0.659022897683332,11,44.0,0.8586387434555016,0.14136125654449835,0.1308900523560256,-0.01047120418847275,0.727748691099476,0.10620069622678206,0.8068792528478741,1.4606168748406827,2.257335009546458,75.20599250936381,0.21855983772819604,0.01047120418847275,0.8586387434555016,2020,False
EURUSD,2020-12-01 12:00:00+00:00,2020-12-09 12:00:00+00:00,Short,1.2031100000000001,1.2083300000000001,-43.38647206476526,-0.433875539227516,37,192.0,0.8661518661518761,0.13384813384812388,0.07335907335906762,-0.060489060489056265,0.7927927927928085,-0.12876055658206106,0.6743704709584045,3.4026713378585507,2.6667786599251704,75.06912442396563,0.2808750882145391,0.060489060489056265,0.8661518661518761,2020,False
EURUSD,2020-12-16 08:00:00+00:00,2020-12-21 00:00:00+00:00,Short,1.2194800000000001,1.21848,8.200014760028353,0.08200216485717007,17,112.0,0.7161936560935176,0.28380634390648246,0.03672787979968468,-0.2470784641067978,0.6794657762938329,-0.12446939162557717,0.5540284030652317,2.370399683419038,2.776535089088556,66.79164434921861,0.18050010506408348,0.2470784641067978,0.7161936560935176,2020,False
EURUSD,2021-03-08 08:00:00+00:00,2021-03-11 00:00:00+00:00,Long,1.18678,1.19312,53.4232146618906,0.534218642039794,16,64.0,0.0737179487179332,0.3333333333333096,0.0737179487179332,-0.2596153846153764,-0.5929487179487571,-0.1684748672784974,0.12315264834947669,1.0487394957983254,-2.066944449360149,11.087689713325474,0.4331059032927901,-0.2596153846153764,-0.0737179487179332,2021,False
EURUSD,2021-03-23 16:00:00+00:00,2021-04-01 12:00:00+00:00,Long,1.1848100000000001,1.17716,-64.56894950961578,-0.6456731459052722,42,212.0,0.004032258064453311,0.012096774193539,0.004032258064453311,-0.008064516129085689,-0.9838709677420077,-0.02884432878494286,0.1461326847198301,0.9851042701091599,-2.631969615278575,33.741351782861955,0.12309536038349399,-0.008064516129085689,-0.004032258064453311,2021,False
EURUSD,2021-04-23 16:00:00+00:00,2021-04-30 08:00:00+00:00,Short,1.20994,1.2080899999999999,15.289635280214497,0.1529001438087933,29,160.0,0.9936708860759779,0.00632911392402217,0.0,-0.00632911392402217,0.9936708860759779,0.0762409338596712,0.8112331763706958,1.3415410740818767,2.3717729758774238,78.64615384615571,0.2541436464088422,0.00632911392402217,0.9936708860759779,2021,False
EURUSD,2021-05-18 08:00:00+00:00,2021-05-21 12:00:00+00:00,Short,1.22173,1.21776,32.494106862232,0.32494904766192667,19,76.0,0.7521008403361015,0.24789915966389847,0.10504201680675562,-0.14285714285714285,0.647058823529346,-0.013335521114576976,0.8591968268982386,1.0450054884742412,2.218398198758744,85.45706371191496,0.09962009286618999,0.14285714285714285,0.7521008403361015,2021,False
EURUSD,2021-06-30 12:00:00+00:00,2021-07-06 00:00:00+00:00,Long,1.1848699999999999,1.18732,20.677897437630236,0.20677373889120168,22,132.0,0.06952965235169654,0.004089979550083771,0.06952965235169654,0.06543967280161278,-0.9263803680982197,0.26444526395196694,0.3947114209326734,2.239010989010918,-2.6463515935081947,26.52546646495476,0.13769849902110154,0.06543967280161278,-0.06952965235169654,2021,False
EURUSD,2021-08-10 08:00:00+00:00,2021-08-13 08:00:00+00:00,Long,1.17224,1.17591,31.308383310157296,0.3130758206510569,18,72.0,0.26315789473680623,0.32017543859653524,0.26315789473680623,-0.057017543859729014,-0.4166666666666585,0.12742628777531242,0.4788370627167027,1.306590257879718,-2.0149071464419195,14.583333333330899,0.4031354983202707,-0.057017543859729014,-0.26315789473680623,2021,False
EURUSD,2021-09-29 04:00:00+00:00,2021-10-11 04:00:00+00:00,Long,1.16622,1.15735,-76.0596472272955,-0.7605769065870911,50,288.0,0.1751592356688103,0.10191082802544077,0.1751592356688103,0.07324840764336954,-0.722929936305749,0.10818597253198779,0.4362624837478057,1.7922374429223764,-2.409953316627006,16.42619311876605,0.20950323974082588,0.07324840764336954,-0.1751592356688103,2021,False
