label,P,w,kind,emp_k,emp_cagr,emp_dd,emp_p95,worst_year_emp,rob_k0,rob_cagr0,rob_k1,rob_cagr1,rob_k2,rob_cagr2,rob_k3,rob_cagr3,rob_k4,rob_cagr4,rob_mean3,rob_mean5
combo P2.0 w0.5,2.0,0.5,combo,13.567054796218867,0.21560604979711262,-0.1595310584982469,-0.25304376927493966,0.08599804482744977,10.670732421875,0.1727355831031958,,,,,,,,,,
combo P2.0 w1.0,2.0,1.0,combo,11.619149756431582,0.20343130834561562,-0.1451086023892978,-0.2390327268979738,0.04342782999153094,10.015302734375,0.17136217608335458,,,,,,,,,,
combo P3.0 w0.5,3.0,0.5,combo,14.428191137313842,0.24037530521222683,-0.15975588350026138,-0.2650735364846455,0.0622158595634803,10.776800842285155,0.17889233703966423,,,,,,,,,,
combo P3.0 w1.0,3.0,1.0,combo,11.552657818794252,0.2055595030650803,-0.13819372578379485,-0.23308052695473477,0.033800410955657334,10.152094421386717,0.18091521759178364,,,,,,,,,,
combo P3.5 w0.5,3.5,0.5,combo,14.955026826858523,0.2526464231755694,-0.16109570744329227,-0.266067914722489,0.06461807216894866,10.977233581542968,0.18913979894851396,,,,,,,,,,
combo P3.5 w1.0,3.5,1.0,combo,11.681285128593448,0.21379869192786183,-0.14389890011106277,-0.2425740673777327,0.03212359269642273,10.344236755371096,0.19688062594226596,10.471762695312503,0.19885304053321273,10.624891357421877,0.2015879197346382,10.31205047607422,0.19623028404050635,10.296201171875,0.19591012928971208,0.1991071954033723,0.19789239990806706
combo P4.0 w0.5,4.0,0.5,combo,17.386081838607787,0.30551425706342283,-0.18540266542039674,-0.2940074418404399,0.08306494212292836,11.221800537109374,0.1946448659292983,11.276907348632811,0.19567071361680988,11.276907348632811,0.19567071361680988,11.276907348632811,0.19567071361680988,10.958458251953125,0.19190466603534984,0.19532876438763935,0.19471233456301557
combo P4.0 w1.0,4.0,1.0,combo,15.470210704803467,0.30905371705146667,-0.15490795845085603,-0.2771337850315007,0.07205539761125768,10.679510498046875,0.1934454729770292,10.679510498046875,0.1934454729770292,10.679510498046875,0.1934454729770292,10.679510498046875,0.1934454729770292,10.679510498046875,0.1934454729770292,0.1934454729770292,0.1934454729770292
champ-only P4.0 mp15,4.0,,diag,16.56914577007294,0.27640489881698005,-0.19999995432544082,-0.293334052836526,0.05368117338317613,10.930661010742188,0.17633056365918187,,,,,,,,,,
champ-only P4.0 mp11,4.0,,diag,12.150707917213438,0.27627866722500927,-0.1999999703112353,-0.2933660247842099,0.046886272670578544,8.010975341796875,0.1761369297573121,,,,,,,,,,
