q,sample,n,er_lo,er_hi,mean_ret,med_ret,win,PF,mean_z
0,full,243,0.0037447567918147038,0.14569383514200054,0.0016095834237599405,0.0028062798112928,0.7078189300411523,1.8934607328376303,2.288742464582951
1,full,243,0.1470762969815258,0.206953224163418,0.0010129736355137544,0.0028555215330283634,0.6707818930041153,1.4683346298390971,2.3572311570819893
2,full,242,0.20698962920869612,0.2674247030475528,0.001312771720263777,0.003347038597180064,0.7107438016528925,1.4918177795269791,2.3496327029455757
3,full,243,0.2674499606459974,0.3445842333506748,0.0017361957380463639,0.0032033882353950326,0.6954732510288066,1.7456399897075594,2.25551342872543
4,full,243,0.3446308724832184,0.5414123801220553,0.0021881375274917154,0.0038665335442349697,0.7160493827160493,2.012968991090912,2.182072768979556
0,IS,133,0.0037447567918147038,0.15044214484725585,0.0009685586440958418,0.0027734515681755887,0.6917293233082706,1.4536859651660667,2.2683666075149125
1,IS,133,0.15127978790094707,0.21150820409080442,0.0008923571224035884,0.0023537393806646154,0.6466165413533834,1.4086551572328034,2.37653535038619
2,IS,133,0.211606381377167,0.2670437412016851,0.0012157198922076115,0.003291804935193856,0.6917293233082706,1.501249168045298,2.333712396771555
3,IS,133,0.2670961347869165,0.3441786571661914,0.0012319998290627253,0.0030559824752615762,0.6917293233082706,1.4504771972623312,2.262496072993175
4,IS,133,0.34688306341130215,0.5414123801220553,0.0024657859170596342,0.0038665335442349697,0.7142857142857143,2.2519255989536564,2.171107637589434
0,OOS,110,0.006233008797127289,0.13941702510442183,0.0025598669817108793,0.0032459656833333916,0.7454545454545455,3.050799798652619,2.2880873478653134
1,OOS,110,0.14093145702502624,0.20271158516330898,0.0010539138470695806,0.003157107913073647,0.6727272727272727,1.4639250813717144,2.3627896078738457
2,OOS,109,0.2035430891308346,0.26782474298509135,0.0013919462460825684,0.003437212953282824,0.7522935779816514,1.4693825435610581,2.3701031248776334
3,OOS,110,0.2685794616234983,0.3445842333506748,0.002314373947185262,0.003398304462074537,0.6909090909090909,2.247830706329642,2.2424279521378536
4,OOS,110,0.3446308724832184,0.5378424985629378,0.0018524353837414134,0.003858338602474099,0.7181818181818181,1.7749190334446143,2.1953306096603398
