label,gamma,currencies,emp_k,emp_cagr,emp_dd,emp_p95,emp_sharpe,worst_year,pos_year,rob_k_seed0,rob_cagr_seed0,k_is,oos_emp_cagr,oos_emp_dd,n_taken,skip_room,skip_cap,n_shrunk,shrink_mean
baseline,-1.0,ALL,11.509042122364047,0.23825240147351323,-0.19999997982659912,-0.29583024425829507,1.247551871912026,0.062487778328043087,1.0,7.567525939941406,0.15213544698492565,12.596451056003572,0.32496689836212855,-0.17388399776040842,1212,2,0,0,
USD g=1.0,1.0,USD,12.53556650996208,0.1962923778120209,-0.19999998625805626,-0.2908022122628299,1.147786392920385,0.020841309333615055,1.0,8.333160400390625,0.12790789994151885,12.485385032892228,0.21683558185271123,-0.1686979983420347,1108,1,105,176,0.46724190744399957
USD g=1.5,1.5,USD,11.862466418743136,0.19628457536037214,-0.19999998673419694,-0.2843809822152013,1.1476451116198898,0.021641315624765012,1.0,8.052574157714844,0.1306506767412774,12.601389907598492,0.2378457550225026,-0.17120132663410692,1134,1,79,136,0.5963665590130519
USD g=2.0,2.0,USD,11.5385799241066,0.19739183204542132,-0.19999999680880864,-0.28951554798831547,1.1392941023487175,0.029415642463955782,1.0,7.691959838867188,0.1290033961766075,12.598082726001739,0.25251172126664834,-0.17115655738997937,1173,1,40,82,0.4271468604327565
USD g=3.0,3.0,USD,11.51420018196106,0.21710834466761297,-0.19999997374840195,-0.29479208755297803,1.1849495624695379,0.03601351222362337,1.0,7.605100097656251,0.14009465607766192,12.757151489257812,0.2912016381786313,-0.17330977196835795,1199,1,14,39,0.4974002771075904
ALL g=1.0,1.0,ALL,25.869804379940035,0.22488068400587147,-0.19999998830167054,-0.35815483663094894,1.1672226799511467,-0.032783406651320735,0.9090909090909091,13.493995361328125,0.11566059610103907,27.985072010755545,0.28005504628613154,-0.189686238684164,942,0,272,562,0.44139375838101813
ALL g=1.5,1.5,ALL,14.806161118745802,0.16689552614667624,-0.19999997853647555,-0.27828844927098073,1.1357625483145328,-0.03169780557814217,0.9090909090909091,10.222115783691407,0.11418286109027465,19.988087701797483,0.2623406252828293,-0.19764361054153623,1021,0,193,480,0.5829182180202997
ALL g=2.0,2.0,ALL,12.167840321063995,0.1644326933800606,-0.19999997986974938,-0.2727750340682767,1.1117564454760178,-0.010787387538982895,0.9090909090909091,8.715245666503908,0.11711202208661642,14.350465805530547,0.22558166143734826,-0.17325394075721523,1101,0,113,283,0.5203085451312401
ALL g=3.0,3.0,ALL,11.265496313571932,0.19607530451056676,-0.19999998385295814,-0.2763708044369166,1.174844450171783,0.012435769062307145,1.0,7.880806579589844,0.13497238389023014,13.309603308439257,0.273781375748398,-0.17765112595770816,1172,0,42,120,0.5410892156921903
