cfg,emp_k,emp_cagr,emp_p95,rob_s0,d_rob_s0_pp
d1_base,8.895088391304014,0.27499459104059665,-0.2728919538292521,0.18236130756298574,0.0
tau0.75,8.903695020675658,0.27437433131379874,-0.27227847678586536,0.18196590062016638,-0.03954069428193652
tau1.0,8.869177064895629,0.2705024066384669,-0.2730473082079994,0.17966167361398933,-0.2699633948996416
tau1.25,8.8335732793808,0.2714872455981061,-0.2688217266015632,0.18829733000581927,0.5936022442833533
tau1.5,10.885505733489989,0.35362445915759055,-0.30450490594778207,0.21170608787802747,2.934478031504173
dz0.3,10.5157026052475,0.2765860241421856,-0.2897249055380236,0.1773976861733524,-0.4963621389633355
dz0.5,10.938597092628477,0.3168674753702272,-0.310991482867989,0.183134099798675,0.0772792235689268
dz0.75,10.448278293609622,0.3186646816438514,-0.30035140194995386,0.19394295918813476,1.1581651625149014
dz1.0,9.086922121047975,0.27330570081778816,-0.28096642618238593,0.17716421178372266,-0.5197095779263083
d1_h20decon,8.921148304939269,0.27715593153685814,-0.2734423846959655,0.1867539998486094,0.4392692285623667
