config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
mp11,2022-12-14 20:10,2022-12-14 23:58,2022-12-14 20:12,Wed,20,-0.03341748621326068,-0.005536846241912086,-2.7880639971348598,4,False,NZDCADS:-3.3%; EURCADS:-3.0%; GBPUSDS:-0.8%
mp11,2022-09-27 15:25,2022-09-28 03:09,2022-09-28 02:31,Wed,2,-0.10332169603837993,-0.0755406567746385,-2.7781039263741425,2,False,GBPUSDL:-2.3%; NZDCADL:-2.1%; NZDUSDL:-2.0%
mp11,2017-11-17 06:39,2017-11-17 11:02,2017-11-17 07:51,Fri,7,-0.061978600769548864,-0.03485014817569909,-2.7128452593849772,1,False,EURAUDS:-2.9%; AUDCHFL:-1.6%; AUDUSDL:-0.8%
mp11,2016-12-01 13:56,2016-12-05 03:58,2016-12-02 19:37,Fri,19,-0.04735133677603898,-0.021321954924847897,-2.602938185119108,2,False,GBPUSDS:-1.3%; GBPJPYS:-0.7%; EURGBPL:-0.6%
mp11,2018-01-25 02:49,2018-01-25 14:06,2018-01-25 03:31,Thu,3,-0.026538547056523032,-0.0005331031151127874,-2.6005443941410245,1,False,EURUSDS:-0.8%; NZDUSDS:-0.8%; USDCADL:-0.3%
mp11,2017-07-28 00:59,2017-07-28 03:16,2017-07-28 02:40,Fri,2,-0.054087235008187906,-0.028893800397393865,-2.519343461079404,1,False,EURCHFS:-2.1%; AUDCHFS:-1.8%; GBPCHFS:-0.6%
mp11,2019-08-26 04:50,2019-08-26 05:59,2019-08-26 05:09,Mon,5,-0.024840709019390284,0.0,-2.4840709019390284,2881,True,GBPAUDS:-0.4%; NZDUSDL:-0.2%; NZDCADL:-0.1%
mp11,2024-05-17 14:03,2024-05-17 15:59,2024-05-17 14:56,Fri,14,-0.03546751640230106,-0.011287417314808756,-2.41800990874923,3,False,AUDCHFS:-1.1%; AUDUSDS:-0.6%; AUDCADS:-0.4%
mp11,2024-12-24 22:58,2024-12-24 23:00,2024-12-24 23:00,Tue,23,-0.04882712322231664,-0.024814668933971773,-2.4012454288344864,11,False,NZDUSDL:-1.6%; NZDCADL:-1.4%; AUDUSDL:-0.7%
mp11,2017-11-15 01:15,2017-11-15 03:54,2017-11-15 02:21,Wed,2,-0.04067310003078495,-0.017535495947120228,-2.313760408366472,1,False,EURAUDS:-2.4%; AUDCHFL:-1.5%; EURCADS:-0.3%
mp11,2021-11-30 06:01,2021-11-30 06:16,2021-11-30 06:06,Tue,6,-0.08517634986478795,-0.06248129714847073,-2.269505271631722,2881,True,AUDCHFL:-2.7%; AUDUSDL:-0.5%; EURJPYL:-0.2%
mp11,2023-03-10 18:44,2023-03-10 19:44,2023-03-10 18:49,Fri,18,-0.03216987305297514,-0.010403419477548415,-2.1766453575426725,4,False,AUDUSDL:-2.0%; GBPAUDS:-0.9%; EURAUDS:-0.9%
mp11,2025-07-02 13:09,2025-07-02 15:48,2025-07-02 14:26,Wed,14,-0.07044165363257748,-0.0486852954080943,-2.1756358224483185,2,False,USDCHFL:-2.5%; GBPCHFL:-2.0%; EURCADS:-1.2%
mp11,2024-05-15 19:54,2024-05-15 19:59,2024-05-15 19:59,Wed,19,-0.03093171125187122,-0.01004108969067219,-2.089062156119903,4,False,AUDUSDS:-0.6%; AUDCADS:-0.5%; AUDCHFS:-0.3%
mp11,2019-01-24 23:49,2019-01-24 23:56,2019-01-24 23:49,Thu,23,-0.049109806382409915,-0.02842241111708077,-2.0687395265329145,1,False,GBPAUDS:-1.7%; GBPUSDS:-1.3%; GBPCHFS:-1.2%
mp11,2025-06-30 15:51,2025-06-30 15:59,2025-06-30 15:59,Mon,15,-0.052313268810998514,-0.031955545131920005,-2.035772367907851,2881,True,USDCHFL:-2.2%; EURCADS:-1.0%; EURJPYS:-0.8%
mp11,2023-02-28 07:58,2023-02-28 07:58,2023-02-28 07:58,Tue,7,-0.022439954620273483,-0.0022905387495747442,-2.014941587069874,2881,True,USDJPYS:-0.8%; USDCHFS:-0.3%; NZDUSDL:-0.3%
