config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
d0_emp,2018-05-29 07:36,2018-05-29 07:59,2018-05-29 07:59,Tue,7,-0.10249430846096363,-0.07883763573943059,-2.3656672721533045,2881,True,
d0_emp,2023-06-15 15:22,2023-06-15 15:59,2023-06-15 15:40,Thu,15,-0.03730491415984105,-0.013871333125711649,-2.3433581034129403,3,False,
d0_emp,2018-12-02 22:02,2018-12-02 23:59,2018-12-02 23:59,Sun,23,-0.042900139857361075,-0.019558562997606055,-2.334157685975502,2881,True,
d0_emp,2024-11-25 15:58,2024-11-25 17:29,2024-11-25 16:46,Mon,16,-0.02326408882157227,0.0,-2.326408882157227,2881,True,
d0_emp,2017-08-02 09:31,2017-08-02 10:46,2017-08-02 09:47,Wed,9,-0.10192995229800872,-0.07901906611615162,-2.2910886181857104,1,False,
d0_emp,2022-10-18 15:39,2022-10-18 15:59,2022-10-18 15:45,Tue,15,-0.045675506015090184,-0.022889600968669876,-2.2785905046420307,2881,True,
d0_emp,2022-09-30 18:54,2022-09-30 19:59,2022-09-30 19:35,Fri,19,-0.07571724652317191,-0.05306736688276881,-2.2649879640403103,3,False,
d0_emp,2017-02-07 17:27,2017-02-08 15:41,2017-02-08 14:53,Wed,14,-0.02217754167236785,0.0,-2.217754167236785,2,False,
d0_emp,2022-05-11 12:52,2022-05-11 13:00,2022-05-11 12:55,Wed,12,-0.18085052642483468,-0.1589495769716176,-2.190094945321708,3,False,
d0_emp,2022-12-02 17:38,2022-12-02 19:59,2022-12-02 19:17,Fri,19,-0.05698162038242516,-0.03514818503656769,-2.1833435345857466,3,False,
d0_emp,2023-01-19 19:35,2023-01-20 15:30,2023-01-19 19:45,Thu,19,-0.024320725884322436,-0.0024931554755291963,-2.182757040879324,2,False,
d0_emp,2021-12-01 18:48,2021-12-01 19:37,2021-12-01 19:19,Wed,19,-0.11656242555407814,-0.09478857600249024,-2.17738495515879,2,False,
d0_emp,2018-12-24 14:45,2018-12-24 15:08,2018-12-24 14:54,Mon,14,-0.02943215133466648,-0.007761159192864686,-2.1670992141801793,2881,True,
d0_emp,2016-11-23 15:41,2016-11-23 15:59,2016-11-23 15:59,Wed,15,-0.02146953201509627,0.0,-2.146953201509627,31,False,
d0_emp,2017-10-06 13:52,2017-10-06 14:11,2017-10-06 14:09,Fri,14,-0.027972031482685122,-0.006505183833306005,-2.1466847649379117,1,False,
d0_emp,2022-09-08 03:50,2022-09-08 03:52,2022-09-08 03:51,Thu,3,-0.04672100759699571,-0.02535916267134397,-2.136184492565174,2,False,
d0_emp,2017-06-02 13:40,2017-06-02 14:09,2017-06-02 14:06,Fri,14,-0.03630463525965921,-0.014960298517555648,-2.1344336742103565,2,False,
d0_emp,2019-01-23 15:38,2019-01-23 15:40,2019-01-23 15:38,Wed,15,-0.03577689160746267,-0.014784712835040126,-2.0992178772422543,2,False,
d0_emp,2023-01-03 09:17,2023-01-03 09:27,2023-01-03 09:17,Tue,9,-0.036586807704300006,-0.01561379686171438,-2.0973010842585627,2885,True,
d0_emp,2017-05-22 10:25,2017-05-22 10:25,2017-05-22 10:25,Mon,10,-0.0359470386845504,-0.015607529630244699,-2.0339509054305704,2881,True,
d0_emp,2023-07-12 14:48,2023-07-12 14:48,2023-07-12 14:48,Wed,14,-0.10541109913779967,-0.08512924874701178,-2.028185039078789,4,False,
d0_emp,2026-02-11 19:24,2026-02-11 19:24,2026-02-11 19:24,Wed,19,-0.03191872933469164,-0.011647475311293287,-2.0271254023398355,4,False,
d0_emp,2017-06-14 14:43,2017-06-14 14:57,2017-06-14 14:47,Wed,14,-0.07449841449777217,-0.054241367655688766,-2.0257046842083404,2,False,
d0_emp,2021-12-03 15:44,2021-12-03 15:47,2021-12-03 15:46,Fri,15,-0.152003604592438,-0.1319237044839111,-2.0079900108526894,3,False,
d1_emp,2019-01-02 22:27,2019-01-02 23:59,2019-01-02 22:39,Wed,22,-0.15109796837562184,-0.010020231564484838,-14.1077736811137,1442,True,GBPJPYL:-13.1%; USDJPYL:-3.3%
d1_emp,2020-03-18 16:48,2020-03-20 06:05,2020-03-19 01:58,Thu,1,-0.15126545851097573,-0.059355105491533555,-9.191035301944217,1,False,GBPCHFL:-5.0%; EURAUDS:-4.9%; AUDCHFL:-4.2%
d1_emp,2016-10-06 23:07,2016-10-07 10:13,2016-10-06 23:09,Thu,23,-0.0751455782087973,-0.0051103741383090595,-7.003520407048825,6,False,GBPCHFL:-4.2%; GBPUSDL:-4.0%; EURJPYS:+0.1%
d1_emp,2022-09-23 18:32,2022-09-29 02:56,2022-09-26 00:59,Mon,0,-0.10470400132369972,-0.045457898557226706,-5.924610276647302,2881,True,GBPUSDL:-4.4%; NZDCADL:-2.5%; EURUSDL:-2.4%
d1_emp,2024-04-26 07:07,2024-04-29 03:59,2024-04-29 01:35,Mon,1,-0.12070270968484109,-0.07421887105789904,-4.648383862694205,2885,True,GBPJPYS:-5.4%; USDJPYS:-5.3%; EURJPYS:-2.6%
d1_emp,2022-11-28 07:03,2022-11-28 11:59,2022-11-28 09:19,Mon,9,-0.051727321121009084,-0.006025177718634089,-4.5702143402374995,2881,True,NZDCADS:-2.1%; EURCADS:-1.4%; GBPUSDS:-1.2%
d1_emp,2021-02-24 01:06,2021-02-24 23:59,2021-02-24 01:23,Wed,1,-0.15693431334116037,-0.11142915960588673,-4.5505153735273645,5,False,
d1_emp,2017-11-17 04:33,2017-11-21 08:33,2017-11-17 07:51,Fri,7,-0.08805833153900511,-0.04451623912954539,-4.354209240945972,1,False,
d1_emp,2017-04-18 17:41,2017-04-18 19:59,2017-04-18 17:41,Tue,17,-0.05226993485858922,-0.01073911407273409,-4.153082078585513,2884,True,
d1_emp,2016-12-02 03:16,2016-12-06 06:58,2016-12-02 19:37,Fri,19,-0.07317733790257153,-0.03375938143434898,-3.941795646822255,2,False,
d1_emp,2024-05-15 12:30,2024-05-21 01:51,2024-05-17 14:56,Fri,14,-0.045498194786427804,-0.007336533060331996,-3.816166172609581,3,False,
d1_emp,2024-12-18 19:55,2024-12-26 07:31,2024-12-24 23:00,Tue,23,-0.06841349612792569,-0.03036237797926944,-3.805111814865625,11,False,
d1_emp,2017-07-28 00:57,2017-07-28 03:59,2017-07-28 02:40,Fri,2,-0.07640790923740326,-0.03852548231549613,-3.788242692190713,1,False,
d1_emp,2018-01-25 02:05,2018-01-26 07:59,2018-01-25 03:31,Thu,3,-0.04085611432711733,-0.003030468247727458,-3.7825646079389874,1,False,
d1_emp,2017-11-15 00:31,2017-11-15 03:59,2017-11-15 02:21,Wed,2,-0.0595396030728369,-0.02214810789364574,-3.739149517919116,1,False,
