X_h,emp_k,emp_cagr,emp_p95,rob_s0,d_vs_d1_pp
0,8.318840456008909,0.24841904442831875,-0.2783478239260278,0.16610626354560698,-1.8192573016302616
1,8.508811130523682,0.25934326426384824,-0.27507916560353224,0.17451181597251764,-0.9787020589391959
2,8.80688853740692,0.27316901328029264,-0.27541332516621314,0.18124038831459766,-0.305844824731194
3,8.687104372978208,0.26778998208058113,-0.2660533837664138,0.18299637938582025,-0.13024571760893444
4,8.873287978172304,0.27497795016049476,-0.2708197625237819,0.1842988365619096,0.0
5,8.390547127723693,0.25175208698784934,-0.2606995341020156,0.18017442507663706,-0.4124411485272539
6,8.953338394165039,0.2787726958419643,-0.26606940048163985,0.19685317687678894,1.2554340314879342
8,9.903938512802124,0.3145332008319577,-0.287468394195388,0.20217565323951026,1.787681667760066
