instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDCAD,2016-08-08 04:00:00+00:00,-1,1,0.5366378383614776,True,0.0013649833168488655,2.2504992008454265,20
AUDCAD,2016-08-08 04:00:00+00:00,-1,2,2.5150317181475943,True,0.0013649833168488655,2.2504992008454265,20
AUDCAD,2016-08-08 04:00:00+00:00,-1,4,2.5150317181475943,True,0.0013649833168488655,2.2504992008454265,20
AUDCAD,2016-08-08 04:00:00+00:00,-1,8,2.5150317181475943,True,0.0013649833168488655,2.2504992008454265,20
AUDCAD,2016-10-26 00:00:00+00:00,-1,1,1.1654737846034409,True,0.009871775894750594,2.365103593998192,10
AUDCAD,2016-10-26 00:00:00+00:00,-1,2,1.1654737846034409,True,0.009871775894750594,2.365103593998192,10
AUDCAD,2016-10-26 00:00:00+00:00,-1,4,1.1654737846034409,True,0.009871775894750594,2.365103593998192,10
AUDCAD,2016-10-26 00:00:00+00:00,-1,8,1.1654737846034409,True,0.009871775894750594,2.365103593998192,10
AUDCAD,2016-11-01 08:00:00+00:00,-1,1,0.060582251166291325,True,0.006191493997108177,2.031514880288792,5
AUDCAD,2016-11-01 08:00:00+00:00,-1,2,0.060582251166291325,True,0.006191493997108177,2.031514880288792,5
AUDCAD,2016-11-01 08:00:00+00:00,-1,4,0.060582251166291325,True,0.006191493997108177,2.031514880288792,5
AUDCAD,2016-11-01 08:00:00+00:00,-1,8,0.060582251166291325,True,0.006191493997108177,2.031514880288792,5
AUDCAD,2017-02-07 00:00:00+00:00,-1,1,0.8238192177172532,True,0.004628371377109811,2.3779868068400467,28
AUDCAD,2017-02-07 00:00:00+00:00,-1,2,0.8238192177172532,True,0.004628371377109811,2.3779868068400467,28
AUDCAD,2017-02-07 00:00:00+00:00,-1,4,0.9833979152563002,True,0.004628371377109811,2.3779868068400467,28
AUDCAD,2017-02-07 00:00:00+00:00,-1,8,0.9833979152563002,True,0.004628371377109811,2.3779868068400467,28
AUDCAD,2017-05-02 12:00:00+00:00,-1,1,-0.06195266674200683,True,0.01195521326881259,2.5530302593219427,6
AUDCAD,2017-05-02 12:00:00+00:00,-1,2,0.1112652348809045,True,0.01195521326881259,2.5530302593219427,6
AUDCAD,2017-05-02 12:00:00+00:00,-1,4,0.42662624606460864,True,0.01195521326881259,2.5530302593219427,6
