q,sample,n,rk_lo,rk_hi,mean_ret,med_ret,win,PF,sum_ret,mean_z
0,full,244,0.001,0.142,0.0007926293751845748,0.0025127838446199844,0.6680327868852459,1.362012319182348,0.19340156754503626,2.217323944919673
1,full,242,0.144,0.279,0.0016818848334932508,0.0036721778667188395,0.7479338842975206,1.8012658113139586,0.4070161297053667,2.2794790732562267
2,full,243,0.281,0.436,0.0010977268056735546,0.0028062798112928,0.6502057613168725,1.4845685578764396,0.2667476137786738,2.303374892311697
3,full,242,0.437,0.632,0.001977662365000695,0.003428393712080496,0.7066115702479339,1.9591629774562103,0.47859429233016815,2.322684447591759
4,full,243,0.633,0.965,0.0023161543286989725,0.003743635202108951,0.7283950617283951,1.925127685315635,0.5628255018738503,2.3104750484871035
0,IS,136,0.001,0.157,0.00130034598882911,0.0031893545591831435,0.6911764705882353,1.6347735949004951,0.17684705448075896,2.2144804675310894
1,IS,132,0.158,0.282,0.001958843942543736,0.003865194966757172,0.7803030303030303,2.0228013835914664,0.25856740041577314,2.2288314306689667
2,IS,131,0.283,0.412,-0.00026846406044326595,0.0016881673536569943,0.5648854961832062,0.9109855738876935,-0.03516879191806784,2.299163629168579
3,IS,133,0.419,0.613,0.001000830557347227,0.001974158911457631,0.6541353383458647,1.5141235165607054,0.1331104641271812,2.3475544403555606
4,IS,133,0.6168032786885246,0.964,0.002764224960426052,0.00428241536665971,0.7443609022556391,2.090175690318138,0.36764191973666493,2.323569430511619
0,OOS,110,0.001,0.131,0.0003942405364164382,0.002344817599811886,0.6545454545454545,1.1660018351078025,0.043366459005808204,2.22816320732706
1,OOS,111,0.133,0.277,0.0011701770057620019,0.003398363971186744,0.7027027027027027,1.5133230101985102,0.12988964763958222,2.3366056304295597
2,OOS,108,0.279,0.459,0.0030735313315564676,0.003957284488042636,0.7685185185185185,3.2878715840044523,0.3319413838080985,2.292991386861273
3,OOS,111,0.46,0.677,0.0026012197995740056,0.004347407597536042,0.7387387387387387,2.082627160060684,0.2887353977527146,2.2928967305644252
4,OOS,109,0.679,0.965,0.0019601300016934063,0.003174052953843967,0.7155963302752294,1.8500526871519258,0.21365417018458127,2.307113420949031
