cfg,emp_k,emp_cagr,emp_p95,rob_mean5,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,rob_k0,rob_k1,rob_k2,rob_k3,rob_k4,is_rob,oos_rob,is_emp,oos_emp,neg_years_emp,neg_years_rob0,worst_year_emp,avg_conc,max_conc,skipped,gate_gain_pp,gate_all_seeds_pos,gate_signature,gate_sig_seeds_3boot,gate_g3_oos_raw_both,gate_g4_all_years_pos,gate_neg_years_emp,gate_neg_years_rob0,gate_worst_year_emp,gate_worst_year_rob0
base,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18570569990428448,0.18182788740243994,0.18735778520259116,0.17977685346069183,0.19099826683985555,0.188567706615844,6.083699951171874,6.256823120117187,6.019327392578124,6.370450439453125,6.294617614746093,0.15536610254819716,0.24655925861490346,0.26771891074524823,0.4409057601939299,0,0,0.05207689463833454,2.919799498746867,8,10,,,,,,,,,,
5,5.563286523818968,0.2534659915798174,-0.2550682054256388,0.18699733373398525,0.18462180009334972,0.18434365805738318,0.1876731179787987,0.19166181258686255,0.18668627995353204,4.146671142578124,4.140819091796874,4.210799865722654,4.2944354248046865,4.1900738525390615,0.15427497188363115,0.25186303102343555,0.2717933752827151,0.46223677511970807,0,0,0.03218570859270464,3.1699123661148976,8,18,0.12916338297007668,False,False,0.0,True,True,0.0,0.0,0.03218570859270464,0.024857160030797854
15,6.5151401090621945,0.30245274794360855,-0.2802201244846658,0.19655027338520797,0.19780820189206239,0.1951350799072249,0.19339074046150717,0.20289789685611903,0.19351944780912644,4.412451782226562,4.356857299804687,4.3205258178710935,4.51803253173828,4.323208007812499,0.15775818379425854,0.2605678706106289,0.2757170297497846,0.47583715833328566,0,0,0.07543301526989254,3.6436950146627565,8,24,1.0844573480923492,True,True,3.0,True,True,0.0,0.0,0.07543301526989254,0.05194937825534618
