X_h,n,dropped,sum_ret,diff_vs_d0,diff_is,diff_oos,best_year,excl_best,excl_2022,rollover_fill_share
0,1214,0,1.9006599677195948,-0.007925137513500324,-0.008597921421819699,0.0006727839083193743,2023,-0.008597921421819699,-0.007925137513500324,0.01070840197693575
1,1214,0,1.9080105161996803,-0.0005745890334148962,-0.030686250948108954,0.030111661914694055,2020,-0.017886152009670142,-0.013262608406019226,0.14497528830313014
2,1214,0,1.9341794015478606,0.025594296314765508,0.0011612765780500932,0.024433019736715415,2020,-0.02490678993960438,0.014529834240153862,0.14497528830313014
3,1214,0,1.9367904615339588,0.028205356300863516,-0.014569739000107496,0.04277509530097101,2022,-0.011209943137523659,-0.011209943137523659,0.14497528830313014
4,1207,7,1.9523858336294508,0.04380072839635582,-0.009939034385092804,0.053739762781448625,2020,0.023696717287659735,0.02917735573151109,0.0347970173985087
5,1207,7,1.919516382733559,0.010931277500464045,0.021683449282127298,-0.010752171781663244,2020,-0.047712325983504195,0.016299677102577022,0.33140016570008285
6,1207,7,2.005904825510304,0.09731972027720856,0.08141917690456557,0.015900543372642986,2020,-0.01669361051873866,0.09825408046802525,0.33140016570008285
8,1197,17,2.0508760681832694,0.14229096295017446,0.10597881258829285,0.03631215036188163,2020,-0.0035266133465397947,0.10101042104147323,0.0935672514619883
