tau_min,n,mean_bps,rest_mean_bps,diff_ci95_lo_bps,diff_ci95_hi_bps,sum_pnl,oos_mean_bps,median_marginality
3,84,5.401681420703216,17.068884176988057,-25.85211011473381,1.870403561143832,0.04537412393390701,5.6464968983699695,0.02137022548936307
5,98,1.8422914151476226,17.530706592797284,-29.75809715844322,-1.988922579662261,0.0180544558684467,-2.740239638864564,0.0363284315275334
10,142,6.150704055346038,17.60441144998828,-23.906925446853865,0.6175916878574934,0.08733999758591375,16.415288284610362,0.04288539534488134
15,183,4.568414539466265,18.345779598998373,-28.86203594359614,0.2472114742980404,0.08360198607223265,12.784621599112144,0.04675589704065608
30,290,6.251359493396364,19.42116021484374,-25.09724385598469,-2.4010531546554525,0.18128942530849457,12.848237386769139,0.06242029237216995
