dly,emp_k,emp_cagr,emp_dd,emp_p95,worst_year,neg_years_emp,neg_years_rob0,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,rob_mean,skip_emp,skip_rob0,k_is_emp,is_emp_cagr,oos_emp_cagr,oos_emp_dd,k_is_rob,is_rob_cagr,oos_rob_cagr,oos_rob_dd,gate_g1_rob_gain_rel,gate_g1_adopt_line,gate_g1_partial,gate_g2_no_signature,gate_g3_oos_rob,gate_g3_oos_emp,gate_g4_all_years_pos,gate_g5_emp,gate_g5_rob0,gate_g5_pool,gate_g6_skip_emp,gate_g6_skip_rob0,gate_g3_oos,gate_g5_single_year,gate_all_pass,gate_g7_decon_rob_mean,gate_g7_decon_gain_rel,gate_g7_decon_signature,gate_g7_decon_adopt_line
0,8.269261851310727,0.24643242987359737,-0.19999993655015524,-0.2784085610965869,0.017887860939187483,0,0,0.16396128193638093,0.16407363793458263,0.1611924587326048,0.16729803780545582,0.1639163418630596,0.16408835165441676,0.009884678747940691,0.009884678747940691,9.646433038711546,0.2404593031989064,0.35945227270593794,-0.1650913704275302,5.953491821289061,0.14461113889932564,0.2104332372636608,-0.10414300524407971,,,,,,,,,,,,,,,,,,,
1,8.895088391304014,0.27499459104059665,-0.1999999353323112,-0.2728919538292521,0.05208929763660097,0,0,0.18236130756298574,0.1879165426408731,0.18031158599210362,0.19156076313641957,0.18912247711889707,0.18625453529025582,0.008285004142502071,0.008285004142502071,10.845063338279726,0.26772472860765495,0.44349335670884993,-0.18791525396302866,6.487735290527343,0.1553746471523325,0.24792161697528914,-0.11496991713737492,0.13508688101470367,True,True,True,True,True,True,True,True,True,0.008285004142502071,0.008285004142502071,True,True,True,0.18861314752220054,0.1494609191969639,False,True
2,10.018224949836732,0.3224042712284507,-0.19999998514889283,-0.28756639563086756,0.10220643759830361,0,0,0.20735832881283112,0.2069844505071805,0.21284691654076893,0.20913956460671068,0.20385071246630893,0.20803599458676003,0.006683375104427736,0.006683375104427736,11.827141089439394,0.3200785406987767,0.48018505359488306,-0.20655536228861748,7.011493835449219,0.1828570582724176,0.2643539642424966,-0.1251240886584828,0.26782914502609256,True,True,False,True,True,True,True,True,False,0.006683375104427736,0.006683375104427736,True,False,False,,,,
3,10.254025259017945,0.32402176169366026,-0.19999995941426274,-0.28271167078275306,0.12690358529490942,0,0,0.2143016621543905,0.2106698881372644,0.212496691883028,0.2119997070475148,0.2154419263978231,0.21298197512400416,0.005942275042444821,0.005942275042444821,12.383257360458373,0.37285933718602493,0.43780636933553607,-0.21914989072016555,7.9712301635742175,0.2297044488373976,0.2657138566434354,-0.1439959221209275,0.2979713244518495,True,True,True,True,True,True,True,True,False,0.005942275042444821,0.005942275042444821,True,False,False,,,,
