label,notes,emp_k,emp_cagr,emp_dd,emp_p95,worst_year,rob_s0,rob_s1,rob_s2,rob_mean,k_is,oos_emp_cagr,oos_emp_dd
baseline_mp11,基準,11.509042506217956,0.23825241009595777,-0.1999999862442139,-0.29354877208699875,0.062487780296052176,0.1521439510179574,0.14664388112629623,0.1507152629253865,0.14983436502321337,12.645932908058164,0.32496681190703436,-0.17388395852578686
lin_a0.5,線形・低ER増し(仮説方向),12.05020480632782,0.24837601651929386,-0.19999996872699266,-0.3012630549888966,0.06414285026602351,0.1536057160514379,,,,14.002534289360046,0.3647020593061141,-0.19473050660072133
lin_a1.0,線形・低ER増し(仮説方向),12.426164779663084,0.25539957509010547,-0.19999996822224153,-0.3102415148000619,0.06524909259043032,0.15046364855871452,,,,13.905205845832825,0.36165862686571293,-0.1958744239462693
lin_a1.5,線形・低ER増し(仮説方向),12.702517971992492,0.260556703637026,-0.19999996869374193,-0.3158496150987689,0.06603920602266888,0.1496725459635806,,,,13.832135219573974,0.3593542202941975,-0.19668289586952714
cvx_q0.5,凸・低ER増し,12.651202039718628,0.258859382754173,-0.1999999669627317,-0.3167689807105913,0.06555496751904832,0.14938674091476112,,,,13.732798943519594,0.3555255964402293,-0.19734050927243407
cvx_q1.0,凸・低ER増し,13.479789185523988,0.27472930959172626,-0.19999997805655512,-0.3333917541664285,0.06735116397139063,0.14723374730132788,,,,13.678259811401366,0.3555576617052989,-0.20274229766165586
bin_er0.4_half,二値逆(ER>0.4半減),12.504531207084657,0.2556872562844539,-0.19999994893735495,-0.31366130574910833,0.060720538108091304,0.15121750904448916,,,,13.38080723285675,0.341064909329827,-0.19117179850615773
rev_a0.5,逆線形・高ER増し(診断方向=選択リーク疑い併記),10.986773643493652,0.22844334719180037,-0.1999999960508808,-0.2876303399259321,0.06080745383375863,0.15000264582386724,,,,11.45790564060211,0.2909516268723167,-0.16415255749983604
rev_a1.0,逆線形・高ER増し(診断方向=選択リーク疑い併記),10.650261673927307,0.22210989149421145,-0.19999998674928143,-0.284389368747804,0.0596851382318937,0.1483759065813246,,,,10.759800939559938,0.27130307191572345,-0.16009642560021142
z_clip4.0,z形状高原確認(CLIP_HI=4),11.519744596481322,0.23827593536262648,-0.19999997504769662,-0.29354875683691184,0.062487776862556466,0.15215537887103903,,,,12.657694158554076,0.3249668480060215,-0.1738839749080504
z_p2.5,z形状高原確認(P=2.5),11.74117004394531,0.2509545487569791,-0.19999994191372616,-0.2949799015830835,0.05716796709850369,0.1605756534173126,0.15335127335696175,0.15847734784380285,0.15746809153935906,13.01883731842041,0.34676931361685903,-0.17652282187521273
