cfg,rob_m5_h4,ratio_m1,gate_115,haircut,eff_cagr,eff_gain_pp,p95_m1,n_sig,trough_m1,skipped
d1mp8,0.18625453529025582,1.0476887399014816,True,0.9544819581568035,0.17721864014306576,0.0,-0.20953774798029634,,2022-03-28 08:50,10
d1mp9,0.19036205660469255,1.0858914309657923,True,0.9209023770549506,0.17432613119625295,-0.28925089468128107,-0.2171782861931585,3.0,2022-03-07 01:50,6
d1mp10,0.19246707519894118,1.152630642584049,False,0.8675806134722647,0.16539773688092163,-1.1820903262144133,-0.2305261285168098,2.0,2022-03-07 01:51,4
h20mp10,0.19742417788266584,1.154966534008637,False,0.8658259530076755,0.16930657626151646,-0.7912063881549303,-0.23099330680172742,3.0,2022-03-07 01:51,4
h20P45mp10,0.20249755493296942,1.1530191914345271,False,0.8672882528137728,0.17392659891728557,-0.32920412257801956,-0.23060383828690545,2.0,2022-03-07 01:51,4
