instr,entry,exit,dir,entry_price,exit_price,ret,bars_held,forced
GBPUSD,2016-06-19 23:54:00+00:00,2016-06-23 23:17:00+00:00,1,1.45923,1.46271,0.002323071388189213,23.845833333333335,False
USDCHF,2016-06-20 03:09:00+00:00,2016-06-23 21:21:00+00:00,-1,0.95841,0.96249,-0.00436161776367958,22.55,False
USDJPY,2016-06-20 17:30:00+00:00,2016-06-21 17:58:00+00:00,-1,103.932,104.763,-0.008063235782292712,6.116666666666666,False
AUDUSD,2016-06-21 07:15:00+00:00,2016-06-24 02:25:00+00:00,1,0.74899,0.74506,-0.0053535906438997305,16.791666666666668,False
NZDUSD,2016-06-21 07:17:00+00:00,2016-06-24 02:39:00+00:00,1,0.71326,0.71058,-0.003953289501352875,16.841666666666665,False
EURUSD,2016-06-23 09:17:00+00:00,2016-06-24 01:04:00+00:00,1,1.1374,1.12494,-0.011007270777102618,3.9458333333333333,False
USDCAD,2016-06-23 09:27:00+00:00,2016-06-23 23:17:00+00:00,-1,1.27347,1.28387,-0.008261282697638515,3.4583333333333335,False
USDJPY,2016-06-23 21:07:00+00:00,2016-06-23 23:17:00+00:00,1,106.481,103.821,-0.025045898698871638,0.5416666666666666,False
USDJPY,2016-06-23 23:18:00+00:00,2016-06-29 12:00:00+00:00,-1,103.043,102.726,0.0030085549716371124,33.175,False
GBPUSD,2016-06-24 01:08:00+00:00,2016-07-11 11:30:00+00:00,-1,1.40736,1.30095,0.07554811822513066,104.59166666666667,False
USDCHF,2016-06-24 01:11:00+00:00,2016-06-30 16:11:00+00:00,1,0.96766,0.97663,0.009165969143648534,39.75,False
EURUSD,2016-06-24 02:25:00+00:00,2016-06-29 14:00:00+00:00,-1,1.11571,1.11212,0.003163989674458656,32.895833333333336,False
NZDUSD,2016-06-24 02:43:00+00:00,2016-06-29 11:05:00+00:00,-1,0.69856,0.71223,-0.019771220776246046,32.09166666666667,False
AUDUSD,2016-06-24 02:44:00+00:00,2016-06-29 23:47:00+00:00,-1,0.73102,0.74653,-0.021327532901037106,35.2625,False
USDCAD,2016-06-24 03:41:00+00:00,2016-06-29 20:14:00+00:00,1,1.30394,1.29717,-0.005283742331288366,34.1375,False
USDJPY,2016-07-06 01:25:00+00:00,2016-07-11 05:05:00+00:00,-1,100.809,101.313,-0.00506916785294463,30.916666666666668,False
NZDUSD,2016-07-07 13:55:00+00:00,2016-07-14 04:12:00+00:00,1,0.72348,0.72166,-0.002708866007877897,39.57083333333333,False
USDCHF,2016-07-08 12:30:00+00:00,2016-07-14 08:50:00+00:00,1,0.98133,0.98068,-0.0007642299618904058,35.083333333333336,False
EURUSD,2016-07-08 12:30:00+00:00,2016-07-12 07:03:00+00:00,-1,1.10137,1.10959,-0.007518114297129011,22.6375,False
AUDUSD,2016-07-08 12:45:00+00:00,2016-07-15 14:41:00+00:00,1,0.7539,0.75835,0.0057962172056129635,42.483333333333334,False
USDCAD,2016-07-08 14:59:00+00:00,2016-07-12 16:25:00+00:00,1,1.30872,1.29848,-0.007915768883998808,24.358333333333334,False
USDJPY,2016-07-12 01:45:00+00:00,2016-07-21 09:34:00+00:00,1,103.284,105.548,0.021851627738109558,55.954166666666666,False
GBPUSD,2016-07-14 11:00:00+00:00,2016-07-19 07:36:00+00:00,1,1.33047,1.31838,-0.009154350007328005,29.15,False
EURUSD,2016-07-14 11:30:00+00:00,2016-07-15 20:30:00+00:00,1,1.11555,1.10465,-0.009824485917639292,8.25,False
EURUSD,2016-07-15 20:46:00+00:00,2016-07-27 18:22:00+00:00,-1,1.10251,1.1008,0.0014966257891300986,71.4,False
NZDUSD,2016-07-17 22:45:00+00:00,2016-07-26 02:06:00+00:00,-1,0.70975,0.70046,0.012893134934054773,48.8375,False
AUDUSD,2016-07-19 12:40:00+00:00,2016-07-26 04:28:00+00:00,-1,0.7483,0.75044,-0.002966883168952117,39.95,False
USDCHF,2016-07-20 12:25:00+00:00,2016-07-26 05:37:00+00:00,1,0.98924,0.98452,-0.004872181059143443,34.3,False
USDCAD,2016-07-22 07:22:00+00:00,2016-07-28 00:07:00+00:00,1,1.31263,1.31269,-4.570766898503997e-05,34.1875,False
GBPUSD,2016-07-26 06:43:00+00:00,2016-07-27 18:06:00+00:00,-1,1.3081,1.31472,-0.005129753718307117,8.845833333333333,False
USDJPY,2016-07-26 07:55:00+00:00,2016-07-27 03:16:00+00:00,-1,104.043,106.3,-0.02176096578703277,4.8375,False
USDCHF,2016-07-26 10:45:00+00:00,2016-07-27 21:10:00+00:00,1,0.98885,0.98463,-0.004368490241682621,8.604166666666666,False
AUDUSD,2016-07-27 18:00:00+00:00,2016-07-28 00:00:00+00:00,-1,0.74513,0.75258,-0.010106161671744553,1.5,False
EURUSD,2016-07-28 08:00:00+00:00,2016-08-03 17:31:00+00:00,1,1.11027,1.11564,0.004782491218589424,38.37916666666667,False
USDCHF,2016-07-28 12:46:00+00:00,2016-08-03 16:00:00+00:00,-1,0.98154,0.97169,0.009933876045604056,36.80833333333333,False
USDJPY,2016-07-28 22:33:00+00:00,2016-08-05 13:22:00+00:00,-1,104.099,101.685,0.023122997631982136,45.704166666666666,False
NZDUSD,2016-07-29 02:19:00+00:00,2016-08-03 16:00:00+00:00,1,0.71172,0.71613,0.00599896036752412,33.420833333333334,False
GBPUSD,2016-07-29 14:58:00+00:00,2016-08-04 11:05:00+00:00,1,1.32767,1.31781,-0.007494078171896956,35.02916666666667,False
AUDUSD,2016-07-29 15:00:00+00:00,2016-08-02 04:30:00+00:00,1,0.76019,0.74954,-0.014114149665233056,21.375,False
AUDUSD,2016-08-02 12:13:00+00:00,2016-08-12 16:03:00+00:00,1,0.76057,0.76624,0.007349364326001417,60.958333333333336,False
USDCAD,2016-08-02 13:32:00+00:00,2016-08-05 12:32:00+00:00,-1,1.30337,1.31338,-0.007772517666556669,17.75,False
GBPUSD,2016-08-05 12:35:00+00:00,2016-08-16 08:33:00+00:00,-1,1.30765,1.29731,0.007838758646533066,64.99166666666666,False
NZDUSD,2016-08-10 10:11:00+00:00,2016-08-15 04:00:00+00:00,1,0.72355,0.71751,-0.008540394129515572,28.454166666666666,False
USDCAD,2016-08-10 11:05:00+00:00,2016-08-19 12:30:00+00:00,-1,1.30158,1.28858,0.009896121457987586,54.354166666666664,False
USDJPY,2016-08-16 01:55:00+00:00,2016-08-21 21:00:00+00:00,-1,100.933,100.733,0.0019122258606254646,34.770833333333336,False
EURUSD,2016-08-16 05:06:00+00:00,2016-08-24 09:19:00+00:00,1,1.12022,1.12766,0.006587815219817106,49.05416666666667,False
USDCHF,2016-08-16 06:36:00+00:00,2016-08-22 03:38:00+00:00,-1,0.9681,0.96422,0.0039047569856928937,35.25833333333333,False
NZDUSD,2016-08-16 08:05:00+00:00,2016-08-22 03:36:00+00:00,1,0.7286,0.72169,-0.009675161595784076,34.87916666666667,False
AUDUSD,2016-08-16 12:30:00+00:00,2016-08-17 08:53:00+00:00,1,0.77405,0.76466,-0.012233719593329084,5.095833333333333,False
GBPUSD,2016-08-18 08:27:00+00:00,2016-08-26 14:00:00+00:00,1,1.30863,1.31763,0.00680841308957536,49.3875,False
AUDUSD,2016-08-19 07:42:00+00:00,2016-08-26 12:44:00+00:00,-1,0.7618,0.76544,-0.00488342785129182,43.25833333333333,False
NZDUSD,2016-08-22 21:02:00+00:00,2016-08-26 16:08:00+00:00,1,0.72936,0.72742,-0.002851541614685593,22.775,False
USDCAD,2016-08-26 14:01:00+00:00,2016-08-26 14:09:00+00:00,1,1.29485,1.28872,-0.004826590264960351,0.03333333333333333,False
GBPUSD,2016-08-26 14:10:00+00:00,2016-08-26 15:37:00+00:00,1,1.32364,1.31763,-0.004608347152079251,0.3625,False
USDJPY,2016-08-26 15:50:00+00:00,2016-09-05 09:37:00+00:00,1,101.264,103.217,0.019216431727849592,58.44583333333333,False
USDCAD,2016-08-26 16:00:00+00:00,2016-09-02 12:30:00+00:00,1,1.29485,1.30329,0.006425156960715439,41.125,False
USDCHF,2016-08-26 16:08:00+00:00,2016-09-02 11:08:00+00:00,1,0.97304,0.97915,0.006176201584642715,40.75,False
AUDUSD,2016-08-26 17:51:00+00:00,2016-09-02 12:00:00+00:00,-1,0.75858,0.75568,0.0037176681519760775,40.5375,False
EURUSD,2016-08-26 19:01:00+00:00,2016-09-01 14:28:00+00:00,-1,1.11818,1.11904,-0.0008227876402987362,34.8625,False
NZDUSD,2016-08-29 00:07:00+00:00,2016-09-01 01:47:00+00:00,-1,0.72162,0.7256,-0.0057099300117802124,18.416666666666668,False
GBPUSD,2016-09-01 08:32:00+00:00,2016-09-08 13:58:00+00:00,1,1.32364,1.33028,0.00494830718788819,43.358333333333334,False
NZDUSD,2016-09-02 12:30:00+00:00,2016-09-09 12:59:00+00:00,1,0.73368,0.73377,-6.814310051106443e-05,42.12083333333333,False
AUDUSD,2016-09-06 06:51:00+00:00,2016-09-09 08:00:00+00:00,1,0.76412,0.76162,-0.0033762562814072528,18.2875,False
USDCAD,2016-09-06 07:08:00+00:00,2016-09-08 20:01:00+00:00,-1,1.28872,1.29304,-0.003445439448729515,15.220833333333333,False
EURUSD,2016-09-08 08:00:00+00:00,2016-09-12 10:25:00+00:00,1,1.12684,1.12135,-0.004925146645131995,24.604166666666668,False
USDCHF,2016-09-08 08:01:00+00:00,2016-09-13 17:02:00+00:00,-1,0.96898,0.97685,-0.008225568410514725,32.25416666666667,False
AUDUSD,2016-09-12 08:01:00+00:00,2016-09-19 01:14:00+00:00,-1,0.75079,0.75135,-0.0008524808524809657,40.30416666666667,False
USDJPY,2016-09-13 01:04:00+00:00,2016-09-14 00:40:00+00:00,-1,101.442,102.864,-0.014087353421038524,5.9,False
USDCAD,2016-09-13 12:33:00+00:00,2016-09-19 05:46:00+00:00,1,1.3126,1.31465,0.0014702969542761402,34.30416666666667,False
NZDUSD,2016-09-13 17:02:00+00:00,2016-09-19 13:35:00+00:00,-1,0.72425,0.73207,-0.010991742384490152,35.1375,False
GBPUSD,2016-09-14 12:00:00+00:00,2016-09-22 06:04:00+00:00,-1,1.31816,1.30582,0.009293574536364334,46.516666666666666,False
USDCHF,2016-09-16 18:06:00+00:00,2016-09-21 16:16:00+00:00,1,0.98024,0.97559,-0.004845504901610731,29.541666666666668,False
EURUSD,2016-09-18 21:00:00+00:00,2016-09-22 05:05:00+00:00,-1,1.115,1.12019,-0.0047086468694224745,20.020833333333332,False
USDJPY,2016-09-20 06:59:00+00:00,2016-09-21 04:28:00+00:00,-1,101.591,102.375,-0.007786391042205105,5.370833333333334,False
USDCAD,2016-09-20 10:29:00+00:00,2016-09-21 09:36:00+00:00,1,1.32276,1.31583,-0.005329523291150551,5.779166666666667,False
USDJPY,2016-09-21 09:36:00+00:00,2016-09-29 00:02:00+00:00,-1,101.612,100.978,0.006170743589365018,45.608333333333334,False
USDCAD,2016-09-21 18:00:00+00:00,2016-09-21 18:08:00+00:00,1,1.32283,1.315,-0.0060095699566856675,0.03333333333333333,False
AUDUSD,2016-09-22 00:00:00+00:00,2016-09-29 17:53:00+00:00,1,0.76322,0.76307,-0.0003013389932657873,46.47083333333333,False
USDCHF,2016-09-22 06:08:00+00:00,2016-09-27 13:35:00+00:00,-1,0.97092,0.97127,-0.0004635018076569988,31.8625,False
USDCAD,2016-09-22 08:20:00+00:00,2016-09-26 07:30:00+00:00,-1,1.30309,1.31854,-0.011949072546295833,23.791666666666668,False
NZDUSD,2016-09-23 07:44:00+00:00,2016-10-04 00:48:00+00:00,-1,0.72453,0.73007,-0.007840322447064046,64.26666666666667,False
GBPUSD,2016-09-23 10:59:00+00:00,2016-09-28 10:54:00+00:00,-1,1.29717,1.30161,-0.0034923388262504736,29.979166666666668,False
EURUSD,2016-09-26 15:01:00+00:00,2016-09-27 14:38:00+00:00,1,1.12702,1.11977,-0.006485958919302592,5.904166666666667,False
USDCAD,2016-09-26 18:46:00+00:00,2016-09-28 18:13:00+00:00,1,1.32283,1.31511,-0.005926418674266021,11.8625,False
USDCHF,2016-09-29 14:27:00+00:00,2016-09-30 09:58:00+00:00,-1,0.96686,0.97249,-0.005926707419244631,4.879166666666666,False
GBPUSD,2016-10-02 21:00:00+00:00,2016-10-18 01:00:00+00:00,-1,1.29184,1.22507,0.051618097298719884,91.0,False
USDJPY,2016-10-04 00:00:00+00:00,2016-10-19 00:57:00+00:00,1,101.835,103.726,0.018499879711503908,90.2375,False
USDCHF,2016-10-04 06:06:00+00:00,2016-10-18 01:05:00+00:00,1,0.97573,0.98664,0.01107831683371252,82.74583333333334,False
EURUSD,2016-10-04 09:42:00+00:00,2016-10-20 12:45:00+00:00,-1,1.11605,1.10205,0.012490815576781835,96.7625,False
NZDUSD,2016-10-04 16:18:00+00:00,2016-10-14 08:09:00+00:00,-1,0.7232,0.71058,0.017258307634865012,57.9625,False
AUDUSD,2016-10-05 06:51:00+00:00,2016-10-10 14:39:00+00:00,-1,0.76027,0.76211,-0.0025255514778422753,31.95,False
USDCAD,2016-10-07 07:03:00+00:00,2016-10-10 14:18:00+00:00,1,1.32492,1.31761,-0.005607631813310476,19.8125,False
AUDUSD,2016-10-11 03:29:00+00:00,2016-10-14 02:53:00+00:00,-1,0.75539,0.76044,-0.006791553584431163,17.85,False
USDCAD,2016-10-13 07:22:00+00:00,2016-10-14 08:00:00+00:00,1,1.33066,1.31945,-0.008514187808103757,6.158333333333333,False
USDCAD,2016-10-14 17:30:00+00:00,2016-10-20 12:20:00+00:00,-1,1.31103,1.31793,-0.005354813611295473,34.708333333333336,False
AUDUSD,2016-10-17 21:09:00+00:00,2016-10-20 20:55:00+00:00,1,0.76339,0.76241,-0.0013884704557065586,17.941666666666666,False
NZDUSD,2016-10-18 00:12:00+00:00,2016-10-21 04:00:00+00:00,1,0.71831,0.71682,-0.0022689941256717194,18.95,False
USDCHF,2016-10-18 12:53:00+00:00,2016-10-20 12:43:00+00:00,1,0.99046,0.98697,-0.003624395513422307,11.958333333333334,False
EURUSD,2016-10-20 13:03:00+00:00,2016-10-26 06:31:00+00:00,-1,1.09649,1.09044,0.0054630355872534704,34.36666666666667,False
USDCHF,2016-10-20 13:20:00+00:00,2016-10-26 07:53:00+00:00,1,0.99046,0.9921,0.0015547546213565688,34.6375,False
USDCAD,2016-10-21 12:32:00+00:00,2016-11-01 12:28:00+00:00,1,1.32915,1.33772,0.006357159515802735,65.98333333333333,False
USDJPY,2016-10-25 00:57:00+00:00,2016-11-01 14:29:00+00:00,1,104.478,104.57,0.0008135411532184111,45.38333333333333,False
GBPUSD,2016-10-25 13:10:00+00:00,2016-10-26 14:49:00+00:00,-1,1.21487,1.2242,-0.007754203280308034,6.4125,False
AUDUSD,2016-10-27 16:39:00+00:00,2016-11-01 03:46:00+00:00,-1,0.75891,0.7648,-0.007866960085390307,26.779166666666665,False
GBPUSD,2016-10-28 09:28:00+00:00,2016-10-31 19:00:00+00:00,-1,1.21487,1.22463,-0.00810816372728612,20.383333333333333,False
NZDUSD,2016-10-28 12:38:00+00:00,2016-11-01 01:01:00+00:00,-1,0.71202,0.71619,-0.006053795912634365,21.095833333333335,False
