cfg,emp_k,emp_cagr,emp_p95,rob_s0,rob_mean,is_rob,oos_rob,oos_emp,worst_year,gain_pp,all_seeds_pos,signature,g3_oos,g5_keep_emp
base,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18182788740243994,0.18570569990428448,0.15536610254819716,0.24655925861490346,0.4409057601939299,0.05207689463833454,,,,,
gbr_half,7.72117691040039,0.2452240678381179,-0.2625319761630355,0.17466512633287645,,0.12654810146863826,0.23764283511945927,0.4286930667668576,0.014472280472829224,,,,,
gbr_quint,8.0325128698349,0.26749744466420977,-0.27212882899554364,0.1824908546881001,0.18182622029433143,0.13638463886196117,0.26454912468343217,0.5061513634615815,0.03777014224567177,-0.38794796099530515,False,False,True,
ridge_half,7.722674212455749,0.26040847555413005,-0.2665595811520115,0.18302185138580773,0.18590251498830274,0.1539814033274456,0.26972913233439755,0.44284777671886166,0.037943976312766026,0.019681508401825365,False,False,True,
ridge_quint,7.552191324234009,0.26214448676424706,-0.26678030526411683,0.18455527604641686,0.18364404414834185,0.13946074936368902,0.26788664381864025,0.41956515533126404,0.004443000638014505,-0.20616557559426374,False,False,False,
