pool,cohort,n,sum_ret,share_of_net
d0,shallow,713,3.9637509255280623,2.076800722514268
d0,deep,501,-2.0551658202949667,-1.076800722514268
d1,shallow,740,3.9551870572195678,2.0156480822690317
d1,deep,467,-1.9929461819338483,-1.015648082269032
