wd,hr,size,mean,sum,mean_bps,cell
0,0,20,0.001727802694331003,0.03455605388662006,17.278026943310028,Mon-00
0,4,30,-0.00029706016615084144,-0.008911804984525243,-2.9706016615084145,Mon-04
0,8,31,-0.002168125529407486,-0.06721189141163207,-21.681255294074862,Mon-08
0,12,36,0.0020731241794971814,0.07463247046189853,20.731241794971815,Mon-12
0,16,65,0.0016225589646588826,0.10546633270282736,16.225589646588826,Mon-16
0,20,24,0.00047595065634857564,0.011422815752365815,4.759506563485757,Mon-20
1,0,8,0.0033353396641234226,0.02668271731298738,33.35339664123423,Tue-00
1,4,35,0.004354682349915455,0.15241388224704092,43.54682349915455,Tue-04
1,8,37,-0.00028057156564780395,-0.010381147928968746,-2.8057156564780397,Tue-08
1,12,57,0.0015713136219247057,0.08956487644970823,15.713136219247057,Tue-12
1,16,86,0.0015813432699606261,0.13599552121661385,15.813432699606262,Tue-16
1,20,30,0.0022214603359006356,0.06664381007701907,22.214603359006357,Tue-20
2,0,10,0.001541866062416233,0.01541866062416233,15.41866062416233,Wed-00
2,4,36,0.001943587778664348,0.06996916003191653,19.43587778664348,Wed-04
2,8,44,0.0019668875167203025,0.08654305073569331,19.668875167203023,Wed-08
2,12,54,0.00273788796327448,0.14784595001682194,27.378879632744802,Wed-12
2,16,65,0.002254405382849411,0.14653634988521172,22.54405382849411,Wed-16
2,20,47,0.001151412864199562,0.05411640461737942,11.51412864199562,Wed-20
3,0,22,0.004044016564374701,0.08896836441624341,40.44016564374701,Thu-00
3,4,34,-0.000349099342164454,-0.011869377633591437,-3.49099342164454,Thu-04
3,8,42,0.0037615832162808316,0.15798649508379492,37.61583216280832,Thu-08
3,12,40,0.0006413278303663146,0.025653113214652582,6.413278303663145,Thu-12
3,16,72,0.0015031425898249739,0.10822626646739812,15.031425898249738,Thu-16
3,20,34,0.0028154127156633825,0.09572403233255501,28.154127156633827,Thu-20
4,0,14,0.0027746684362284215,0.0388453581071979,27.746684362284217,Fri-00
4,4,31,0.0017302789807964309,0.053638648404689356,17.30278980796431,Fri-04
4,8,38,0.0019514420121684664,0.07415479646240172,19.514420121684665,Fri-08
4,12,54,0.0019342484603609605,0.10444941685949187,19.342484603609606,Fri-12
4,16,70,0.0010696899665860124,0.07487829766102086,10.696899665860125,Fri-16
4,20,29,-0.0005324643664631559,-0.01544146662743152,-5.324643664631559,Fri-20
6,20,12,0.0029743883806774194,0.03569266056812903,29.743883806774193,Sun-20
