instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
AUDUSD,2018-04-23 00:00:00+00:00,2018-11-16 00:00:00+00:00,-1,0.7601300000000001,0.035862286714115,178,2.1603234559954636,0.004359653663970109
NZDUSD,2018-04-25 00:00:00+00:00,2018-11-06 00:00:00+00:00,-1,0.70732,0.04713566702482601,167,2.9305386680550147,0.005377375108193497
USDCHF,2018-04-26 00:00:00+00:00,2018-08-21 00:00:00+00:00,1,0.9890299999999999,-0.004812796376247406,100,2.7524395567128765,0.003025231936292695
EURUSD,2018-05-07 00:00:00+00:00,2018-09-20 00:00:00+00:00,-1,1.1932800000000001,0.01315701260391534,117,2.4288892140828184,0.003164420915167027
GBPUSD,2018-05-10 00:00:00+00:00,2018-09-20 00:00:00+00:00,-1,1.352085,0.018534337708058242,114,1.937440528111616,0.004120724074383196
USDJPY,2018-05-20 00:00:00+00:00,2018-12-20 00:00:00+00:00,1,110.8955,0.0024888295737879136,184,1.7330905499963218,0.0032846223730784965
USDCHF,2018-08-27 00:00:00+00:00,2018-10-17 00:00:00+00:00,-1,0.97933,-0.015776091817875513,44,2.781941026192721,0.002432273435745445
USDCAD,2018-09-30 00:00:00+00:00,2018-11-09 00:00:00+00:00,-1,1.2835299999999998,-0.029130600765077584,35,2.3589018825335857,0.0039624049489823295
USDCHF,2018-10-30 00:00:00+00:00,2018-12-20 00:00:00+00:00,1,1.00522,-0.018165177772029993,44,1.7221133427719617,0.0023796756593575325
EURUSD,2018-10-31 00:00:00+00:00,2018-12-31 00:00:00+00:00,-1,1.13142,-0.01315161478496053,52,2.196946014762655,0.0032932376833820142
USDCAD,2018-11-14 00:00:00+00:00,2019-01-30 00:00:00+00:00,1,1.32474,-0.007926083608859161,66,1.934999666656866,0.002391188907304479
NZDUSD,2018-11-16 00:00:00+00:00,2019-01-02 00:00:00+00:00,1,0.68726,-0.03540144923318678,40,2.4941190823281807,0.005804938802849251
GBPUSD,2018-12-10 00:00:00+00:00,2019-01-16 00:00:00+00:00,-1,1.255905,-0.026132549834581405,32,2.240348241287409,0.004519892988529539
