label,k,cagr_h4,dd_h4,dd_m1,ratio,trough_h4,trough_m1,p95_m1_approx,k_adj,haircut,dd_m1_adj,cagr_adj
d0_rob_s0,5.654061889648435,0.16396128193786885,-0.14008210952858802,-0.14514214259310465,1.0361219079405994,2022-05-12 12:00,2022-05-12 19:11,-0.2072243815881199,5.4569465680794975,0.9651373958375269,-0.1403478587139566,0.1579183415897043
d1_rob_s0,6.083699951171874,0.1823613075620858,-0.14013635320614648,-0.1467877179306164,1.0474635208658918,2022-05-12 12:00,2022-03-28 08:50,-0.20949270417317836,5.808030380039152,0.9546871848800463,-0.14039906359510057,0.1735699393881882
d0_rob_m5,5.658158325195311,0.16408712121108682,-0.1401783349858462,-0.14524157712664743,1.0361200048588997,2022-05-12 12:00,2022-05-12 19:11,-0.20722400097177995,5.460910221462086,0.9651391685427226,-0.14044444939868062,0.1580396178047625
d1_rob_m5,6.205081237792969,0.18624861038673002,-0.14278369009330527,-0.14959286435233865,1.0476887399014816,2022-05-12 12:00,2022-03-28 08:50,-0.20953774798029634,5.9226380903706755,0.9544819581568035,-0.14305811733178053,0.17721864014306576
d0_emp,8.269261851310727,0.24643242987394487,-0.19999993655039416,-0.20698149238365382,1.034907790240726,2022-05-12 12:00,2022-05-12 19:11,-0.20698155804814522,7.990336848645468,0.9662696613457648,-0.20054130741080212,0.2374313200320226
d1_emp,8.895088391304014,0.27499459104073276,-0.1999999353323948,-0.2105277222784674,1.0526389517505377,2022-05-12 12:00,2022-03-28 08:50,-0.21052779035010755,8.450274784636736,0.9499933460917448,-0.20061399531965995,0.2599734481615128
