tf,lb,pair,sharpe_raw,sharpe_clean,sharpe_long,sharpe_short,ret_raw,ret_clean,ntr_raw,ntr_clean
H1,24,EURUSD,0.40306181623908127,0.5559525068177651,0.3213245639955898,0.2477639050806944,0.2275952344931831,0.32964900515063184,5290,4600
H1,24,USDJPY,0.7789404755190896,0.560675443010126,0.9611406436716557,0.19085326024702104,0.6029110030616137,0.4218965979681794,5286,4407
H1,24,GBPUSD,0.3550867297399672,0.18627765409308933,0.20045731044222978,0.2841897317336826,0.2214621765255606,0.1042724854053873,5354,4605
H1,24,AUDUSD,-0.7103769738422478,-0.7840170509138761,-0.5051657986047432,-0.4783647352826819,-0.5581570421060719,-0.6334640011744881,5406,4621
H1,24,USDCHF,-0.2014585535600176,0.15629114416331935,-0.34868353086303716,0.036143300050072685,-0.15471680463563608,0.07316082340327047,5438,4601
H1,24,USDCAD,-1.1711677213457732,-1.0116259655888453,-0.6702799042421311,-0.9634344724824867,-0.5983492856970385,-0.5265409610218933,5748,4811
H1,24,NZDUSD,-0.24503392309646735,-0.36263174158936445,-0.3005848418093453,-0.055203232794198615,-0.24329567353749917,-0.3483688392440903,5380,4404
M30,48,EURUSD,0.34024122322065176,0.5100709343472488,0.2774317522905043,0.20383340267280733,0.1929746443896236,0.3085967155230379,7400,6500
M30,48,USDJPY,1.0191894286486372,0.7922672314045321,1.1540472922565934,0.3536233122407939,0.7931064263096623,0.611803709431579,7472,6293
M30,48,GBPUSD,0.21074883375780654,0.07228777571919243,0.09493527752365344,0.18912302886983254,0.11591147405197644,0.014493376290926426,7506,6533
M30,48,AUDUSD,-0.9756853041031799,-0.7991459177962409,-0.6939771768604933,-0.678319388943945,-0.7266405039405605,-0.6382479898407947,7676,6591
M30,48,USDCHF,-0.5519454080553273,-0.09375358256098486,-0.608307882862109,-0.22024750431093743,-0.3571636048412675,-0.09007708767143521,7854,6723
M30,48,USDCAD,-1.2288490063998019,-1.093677465070681,-0.702938701784604,-1.0039441884480902,-0.6245813360782612,-0.5661124940942099,8156,6897
M30,48,NZDUSD,-0.5578252727025403,-0.5557026642116472,-0.5217685601895411,-0.2829677155867772,-0.47559745962743016,-0.49713338276969443,7662,6410
M15,96,EURUSD,0.3079216370441397,0.48062733977179384,0.25480412927975105,0.1800805280857485,0.17106061190248784,0.2882863176734334,10411,9246
M15,96,USDJPY,1.1704785652145402,0.9848888213084022,1.2763033984793655,0.44951584696796265,0.909249159190543,0.7735168552806155,10504,8979
M15,96,GBPUSD,0.07303339611673759,-0.09332957404984127,-0.0070860490128169884,0.09442184007805587,0.016623477905710025,-0.11445217349863669,10662,9373
M15,96,AUDUSD,-1.0420791192863048,-0.849528919603519,-0.7363171377377374,-0.7236675939826305,-0.7658371503841408,-0.6755792607711449,10842,9453
M15,96,USDCHF,-0.577906471146002,-0.14672497679114432,-0.6339682314946563,-0.24198219936276508,-0.3780538907241862,-0.12772090975602532,10970,9487
M15,96,USDCAD,-1.1523216680431254,-1.004759935818083,-0.6557123905586307,-0.9467776712544332,-0.6001286711037918,-0.5436294432339591,11438,9743
M15,96,NZDUSD,-0.5553972241842864,-0.5348618577361848,-0.5415271679586894,-0.2922939616719101,-0.4925237520731422,-0.5049498799420106,10704,9000
