label,n_pool,emp_k,emp_cagr,emp_dd,emp_p95,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,rob_mean,neg_years_emp,neg_years_rob0,worst_year_emp,skip_rate,max_conc,trades_per_year,k_is_emp,is_emp_cagr,oos_emp_cagr,oos_emp_dd,k_is_rob,is_rob_cagr,oos_rob_cagr,oos_rob_dd
G1_solo,1118,7.939055314064027,0.1748240817464164,-0.19999992335429018,-0.35263751553259054,0.08992984409987836,,,,,0.08992984409987836,1,1,-0.04995231492225205,0.004472271914132379,8,111.34572719802794,,,,,,,,
G2_solo,1167,6.4817308425903315,0.14695450004404376,-0.19999996320821267,-0.2860137634023778,0.09959346940010305,,,,,0.09959346940010305,1,1,-0.04424431723126521,0.007712082262210797,8,115.84757600657355,,,,,,,,
G3_solo,1164,9.587299132347107,0.2187527860782772,-0.19999995432169215,-0.35964119762167507,0.10932296305037936,,,,,0.10932296305037936,1,1,-0.09582338015203995,0.006013745704467354,8,115.7475349219392,,,,,,,,
V_base,1214,8.269261851310727,0.24643242987359737,-0.19999993655015524,-0.2784085610965869,0.16396128193638093,0.16407363793458263,0.1611924587326048,0.16729803780545582,0.1639163418630596,0.16408835165441676,0,0,0.017887860939187483,0.009884678747940691,8,120.24938373048481,9.646433038711546,0.2404593031989064,0.35945227270593794,-0.1650913704275302,5.953491821289061,0.14461113889932564,0.2104332372636608,-0.10414300524407971
V_all,1846,5.214872336387635,0.18128478478188237,-0.1999999872545517,-0.29119838559011785,0.11618011400911366,0.11896235187084958,0.12061501758077853,0.12180150710109738,0.11667226246705109,0.11884625060577805,0,0,0.03713170859372905,0.02600216684723727,8,179.87387017255548,5.214872336387635,0.15417657506561544,0.21658473087365926,-0.15713804695374267,3.524159240722656,0.1027192916158346,0.14261062260934887,-0.10734271853908939
V_02,1574,6.303254723548888,0.20538683852302242,-0.199999917790894,-0.2822601240952773,0.13846723494062263,0.1334059576292732,0.13938033787791304,0.14292365162544174,0.13482828798708124,0.13780109401206636,0,0,0.013279497235214821,0.017789072426937738,8,154.6635168447001,6.303254723548888,0.16799823562844485,0.25447338299878597,-0.1479472331093571,4.201290283203124,0.11027191027095373,0.16422031644548563,-0.0999717767816487
