vol_sd_win,full_seeds,emp_k,emp_cagr,emp_dd,emp_p95,worst_year,neg_years_emp,neg_years_rob0,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,rob_mean,k_is_emp,is_emp_cagr,oos_emp_cagr,oos_emp_dd,k_is_rob,is_rob_cagr,oos_rob_cagr,oos_rob_dd
15,False,6.347011756896972,0.15612629780053733,-0.19999988936027813,-0.2902326017240081,0.025711361845947023,0,0,0.1045713975929643,,,,,0.1045713975929643,6.347011756896972,0.10769906441898969,0.22036051552967684,-0.13226444767418477,3.971597290039062,0.0670225467190042,0.13340940807324664,-0.08301261348637323
20,True,8.269261851310727,0.24643242987359737,-0.19999993655015524,-0.2784085610965869,0.017887860939187483,0,0,0.16396128193638093,0.16407363793458263,0.1611924587326048,0.16729803780545582,0.1639163418630596,0.16408835165441676,9.646433038711546,0.2404593031989064,0.35945227270593794,-0.1650913704275302,5.953491821289061,0.14461113889932564,0.2104332372636608,-0.10414300524407971
25,True,9.477813205718995,0.30572305969127367,-0.1999999553618379,-0.29378111642025334,0.06617312957446075,0,0,0.1923678155763231,0.19461102331503155,0.19105274636267544,0.1922378796655544,0.1909472672649526,0.1922433464369074,9.477813205718995,0.25684212484891433,0.37045236368316004,-0.18529213321830218,6.963214416503906,0.18448534052371834,0.2620072924036292,-0.1377339221018189
30,False,7.915388035774231,0.1855117258435257,-0.19999993813682104,-0.35978330578123086,-0.008372419783475027,1,1,0.09269705844357867,,,,,0.09269705844357867,9.682692131996152,0.19629820995420366,0.2718999219370051,-0.24263163671760923,4.555095520019531,0.0909287223269819,0.12256517208975515,-0.11691916761290722
35,True,8.113336701393125,0.21694939618692777,-0.1999999173567495,-0.34306705756557343,0.05064342407507505,0,0,0.11753026648834353,0.11225079649835012,0.11806235974793222,0.11662410221477248,0.116880145483645,0.11626953408660867,9.899065613746641,0.25134328645620974,0.2901939052130471,-0.24205995730041785,5.219059448242187,0.1285148249324446,0.14680347478651212,-0.13034096487163405
40,True,8.257111988067624,0.22514923581770785,-0.1999999602642588,-0.34569070529539386,0.05642127339369707,0,0,0.11766403553296967,0.11379170868354604,0.12078142644407186,0.1229856430224967,0.11862676213721302,0.11876991516405946,10.47057399749756,0.2753468121377405,0.3099240946264914,-0.24934218203316383,5.440218200683594,0.13820716777911612,0.1539958991884376,-0.13462278535012773
