label,notes,emp_k,emp_cagr,emp_dd,emp_p95,worst_year_emp,neg_years_rob0,rob_s0,rob_mean,k_is_emp,oos_emp_cagr,is_rob0_cagr,oos_rob0_cagr,skew_emp,p1_emp
baseline_mp8,基準 f(z) P=4.0,8.269261851310727,0.24643242987359737,-0.19999993655015524,-0.2784085610965869,0.017887860939187483,0,0.16396128193638093,0.16408835165441676,9.646433038711546,0.3594522727064273,0.14461113889932564,0.21043323726324092,3.000241552344982,-0.011798300604172052
pow_Q0.5_v0.4,べき Q=0.5 v0=0.4,6.412336797714232,0.22011570849152506,-0.19999999719218575,-0.2766145160824087,0.01634625733042472,0,0.14911318700549603,,6.412336797714232,0.2710613195744018,0.12304055639585298,0.1802544552241503,3.612015402789137,-0.010928035839473504
pow_Q0.5_v0.5,べき Q=0.5 v0=0.5,6.4281251430511475,0.22006543521105026,-0.19999989963613374,-0.2771454043136425,0.016563375432855798,0,0.14830960027816298,,6.4281251430511475,0.27084137110939577,0.1231365742529893,0.18018235812287697,3.61343422658038,-0.01093217010521908
pow_Q0.5_v0.6,べき Q=0.5 v0=0.6,6.4443287706375125,0.22001373605553565,-0.19999990788574806,-0.2770971012539842,0.01677325327688739,0,0.1481156263295107,,6.4443287706375125,0.2707076046847632,0.12323674550740193,0.18023770321348942,3.6141631313240965,-0.010929660155097326
pow_Q1.0_v0.4,べき Q=1.0 v0=0.4,4.664230933189391,0.16997657610937855,-0.19999993792495585,-0.2594364312897159,0.012272665528124671,0,0.12412056790507342,,4.664230933189391,0.20134096698801107,0.10544351158318621,0.14346702754491392,4.476006861812591,-0.008679710893427301
pow_Q1.0_v0.5,べき Q=1.0 v0=0.5,4.7345584106445315,0.17088131231835346,-0.1999999286847427,-0.2600027005903777,0.011227300277350638,0,0.12468254450963068,,4.7345584106445315,0.20175176344140588,0.10601598131533962,0.14329270345190004,4.461001776735148,-0.008760175394801688
pow_Q1.0_v0.6,べき Q=1.0 v0=0.6,4.820327529907226,0.17188108257476387,-0.19999990178148697,-0.26019937361005097,0.010568753251195107,0,0.12499418502862114,,4.820327529907226,0.202047699580997,0.10723594258947045,0.14369977869548767,4.4388045251129205,-0.008793458728403536
pow_Q2.0_v0.4,べき Q=2.0 v0=0.4,4.461329360008238,0.17002590527304795,-0.19999995147142358,-0.2817608932673019,-0.008094320928640264,1,0.112137509003577,,4.461329360008238,0.20315644416001022,0.0946411142140493,0.130410864228248,4.542982016557652,-0.00954286158428117
pow_Q2.0_v0.5,べき Q=2.0 v0=0.5,3.451907749176025,0.1323523589360447,-0.19999982555383566,-0.2595795535849779,0.011983734290777592,0,0.097418471151961,,3.451907749176025,0.14557029188718773,0.08844999700448919,0.1042588898032848,5.339386863135274,-0.007477249089656984
pow_Q2.0_v0.6,べき Q=2.0 v0=0.6,3.2352790021896363,0.12255367264367867,-0.19999983612560734,-0.2515535971924237,0.015521007322151892,0,0.09347257274334186,,3.2352790021896363,0.12781074357028044,0.0894090033326429,0.09557767400403483,6.129278910809447,-0.006639473259174067
lin_a0.5,線形 a=0.5,7.836880640983581,0.2473592710823913,-0.19999992640675468,-0.2856260313739297,0.017965431006416344,0,0.163329775928432,0.15983171893744172,8.1578023815155,0.315653594462725,0.13640525115323987,0.19568165191385112,3.2335418366205477,-0.01188784711257937
lin_a1.0,線形 a=1.0,6.625700435638429,0.22011092473268512,-0.19999991810829465,-0.2747568331649363,0.01657427789895527,0,0.14868822998774323,,6.625700435638429,0.2662885311183376,0.12540286045092341,0.17726221356265803,3.5990647962103868,-0.010764983132761141
bin_q1half,二値 Q1半減,8.03249382019043,0.26230320005367025,-0.199999964112489,-0.29907610392062733,0.0129651251538343,0,0.16220107554073926,0.16042440758323986,8.03249382019043,0.34389193480835556,0.12605731289953526,0.20871998026047112,3.2394813337163213,-0.012725200467795472
baseline_mp11,,12.15070692062378,0.2762786423412764,-0.19999995467878895,-0.2923197771990058,0.046886269261227964,0,0.1761369297573121,0.17399642921806308,,,,,3.1898100332271335,-0.012733737336816037
bin_q1half_mp11,,10.749194097518924,0.26467539374794846,-0.19999996147530352,-0.29045422468666543,0.03334201554941907,0,0.1707785945388849,0.16746022735085725,,,,,3.4216089307160407,-0.01238555598527923
