vol_sd_win,n,sum_ret,mean_bps,win,pf,pos_years,n_years,worst_year,era_16_21,era_22_26,med_hold,emp_k,emp_cagr,emp_p95,rob_s0_k,rob_s0_cagr
20,1214,1.908585105233095,15.72145885694477,0.700164744645799,1.7068733478791565,11,11,0.09251192645648472,0.9009980468423103,1.0075870583907847,18.0,8.269261851310727,0.24643242987359737,-0.2784085610965869,5.654061889648435,0.16396128193638093
22,1243,1.823934778142107,14.6736506688826,0.6967015285599356,1.6707623090267314,11,11,0.03080004655908759,0.8256732194913698,0.9982615586507373,18.0,8.210874691009519,0.2325513969990194,-0.2822248999492773,5.5714016723632795,0.1537152751471471
24,1234,1.8409705691404301,14.918724223180147,0.6985413290113452,1.6806019105899463,11,11,0.038618412385498825,0.7707349501812173,1.070235618959213,18.0,9.69656789302826,0.2869882349335535,-0.3164392050462173,5.768420715332031,0.16374456033619134
25,1220,2.0290303536930567,16.631396341746367,0.7040983606557377,1.7916382286636503,11,11,0.06744343329986592,0.915919345790063,1.1131110079029938,18.0,9.477813205718995,0.30572305969127367,-0.29378111642025334,6.198546447753905,0.1923678155763231
26,1206,1.898880730408947,15.745279688299727,0.6956882255389718,1.7349507040922543,11,11,0.07882389598451787,0.8280610247487348,1.0708197056602122,19.0,9.403923444747926,0.2891874121913316,-0.3007412460958541,5.991286315917968,0.17766351494261579
28,1216,1.7958338820166215,14.768370740268269,0.6990131578947368,1.6688686056420823,11,11,0.07475001958166809,0.7294124323030557,1.0664214497135658,19.0,8.994626593589782,0.23840138898508179,-0.34465733171780016,4.7282186889648425,0.12118863425504589
30,1252,1.7674021465912335,14.116630563827744,0.6932907348242812,1.6175187685233134,11,11,0.013293234562765596,0.7924719457646892,0.9749302008265446,18.0,7.915388035774231,0.1855117258435257,-0.35978330578123086,4.042797241210938,0.09269705844357867
