basis,k,final_equity,max_lev_total,t_max_lev_total,p99_lev_total,max_lev_single,t_max_lev_single,max_alloc_frac_entry,p99_alloc_frac_entry,mean_alloc_frac_entry,matches_mm_simulate,within_25x_total,within_25x_single
emp_k,8.89479883670807,112660.75533646706,14.744805136674438,2017-11-17 08:00:00+00:00,9.230924262028584,3.181888095844964,2021-02-24 20:00:00+00:00,2.987847013821447,2.787152428885791,1.1240398936818818,True,True,True
rob_k_mean,6.204983703613282,54883.74098269162,9.982486874695857,2017-11-17 08:00:00+00:00,6.391529937718828,2.1140361855714342,2021-02-24 20:00:00+00:00,2.030258010827962,1.9321804020598399,0.7814529158932778,True,True,True
exp47_emp_k,8.895088391304014,112669.40863862967,14.745333378361076,2017-11-17 08:00:00+00:00,9.231230923313836,3.1820087878116845,2021-02-24 20:00:00+00:00,2.9879525952153663,2.787245041626011,1.1240769018946717,True,True,True
