label,mp,gate,w,th,g,emp_k,emp_cagr,emp_dd,emp_p95,worst_year_emp,rob_k0,rob_cagr0,k_is,oos_cagr,oos_dd,rob_k1,rob_cagr1,rob_k2,rob_cagr2,rob_mean3,ovl_oos_n,ovl_oos_pnl_frac
champ mp11,11,,,,,11.50904070854187,0.23825236971358343,-0.19999995618794508,-0.2958302109769504,0.06248777107907344,7.567926330566406,0.15214395101724398,12.645932779312131,0.3249668081733781,-0.17388395683139757,,,,,,,
champ mp13,13,,,,,13.601592869758605,0.23855020260753657,-0.19999994635715945,-0.29486874176487415,0.07132499061587372,8.976319885253908,0.15291344607884372,,,,,,,,,,
champ mp15,15,,,,,15.694145030975346,0.23855019290874568,-0.19999993914791703,-0.2948687316376055,0.0713249880454141,10.357160034179689,0.15291138447052277,,,,,,,,,,
cushion mp11 g0.05 w0.5,11,0.05,0.5,,,9.949173011779784,0.21739493653424113,-0.1595310506129609,-0.2523609434527445,0.08801917784778679,7.6730194091796875,0.1608178599583212,,,,,,,,,,
cushion mp11 g0.05 w1.0,11,0.05,1.0,,,8.520711221694944,0.19353903311202725,-0.1820766884703794,-0.2679668711797411,-0.0007313233170532785,7.195101928710937,0.15676362054168158,,,,,,,,,,
cushion mp11 g0.08 w0.5,11,0.08,0.5,,,12.54168965816498,0.2736028542318498,-0.19840014122878402,-0.3133525868997327,0.057216768202718704,7.291416931152343,0.14177717538068046,,,,,,,,,,
cushion mp11 g0.08 w1.0,11,0.08,1.0,,,12.051433110237124,0.2710982020449435,-0.1908652652598628,-0.31501938834702514,0.05008175283296845,6.972236328125,0.13373411653298817,,,,,,,,,,
cushion mp13 g0.05 w0.5,13,0.05,0.5,,,11.75811390399933,0.2133504602391727,-0.15953105516228938,-0.25602951544256886,0.08599804297997693,9.247952575683595,0.16835423125319604,,,,,,,,,,
cushion mp13 g0.05 w1.0,13,0.05,1.0,,,10.069927630424502,0.19798708278936683,-0.18148186553350432,-0.26009398438756237,0.04342782116914057,8.637388610839842,0.16960826868111867,,,,,,,,,,
cushion mp13 g0.08 w0.5,13,0.08,0.5,,,14.242059450149535,0.26074645047633327,-0.199999944152921,-0.30858083962403243,0.062510344786886,8.997777404785154,0.15419030498080466,,,,,,,,,,
cushion mp13 g0.08 w1.0,13,0.08,1.0,,,13.790028619766236,0.27858054584790226,-0.18496705858066997,-0.30190688521822917,0.06105682470808027,8.905363769531249,0.1530792017815148,,,,,,,,,,
cushion mp15 g0.05 w0.5,15,0.05,0.5,,,13.567054796218867,0.21560604979743458,-0.15953105849846372,-0.2530437692752633,0.08599804482756768,10.670732421875,0.1727355831027657,,,,,,,,,,
cushion mp15 g0.05 w1.0,15,0.05,1.0,,,11.619149756431582,0.20343130834620315,-0.14510860238968382,-0.23903272689856192,0.043427829991641964,10.015302734375,0.1713621760829045,,,,,,,,,,
cushion mp15 g0.08 w0.5,15,0.08,0.5,,,17.102304768562316,0.2864853537248302,-0.1984001489877949,-0.3008797763102548,0.07070661118869914,9.948735656738283,0.1447050757825974,,,,,,,,,,
cushion mp15 g0.08 w1.0,15,0.08,1.0,,,16.43377779006958,0.2879493002558744,-0.19086532582305749,-0.3109428575398425,0.06293791793178105,10.275475158691407,0.15308007451915162,,,,,,,,,,
cushion mp15 g0.05 w0.5 +usd th0.3 g0.0,15,0.05,0.5,0.3,0.0,18.106790409088138,0.2724578378705804,-0.19994161869973914,-0.31550865204952144,0.0898449232930183,11.426866149902342,0.1745152622496544,,,,,,,,,,
cushion mp15 g0.05 w0.5 +usd th0.3 g0.5,15,0.05,0.5,0.3,0.5,18.770492005348203,0.28584397238716486,-0.1999999707775073,-0.3391654477650851,0.09158342480756598,11.48977569580078,0.17980123570268658,,,,,,,,,,
cushion mp15 g0.05 w0.5 +usd th0.35 g0.0,15,0.05,0.5,0.35,0.0,18.31694609642028,0.27633224517341337,-0.19999998617313308,-0.33630918574628055,0.08833732240471037,11.303973083496093,0.17980762892667745,18.31694609642028,0.3806620378569683,-0.18173717107054022,11.156940307617184,0.1784739047267596,11.303973083496093,0.17980762892667745,0.1793630541933715,71.0,0.06347625579430723
cushion mp15 g0.05 w0.5 +usd th0.35 g0.5,15,0.05,0.5,0.35,0.5,17.48615134716034,0.2718453071223761,-0.18647864616641918,-0.3178485375710835,0.08734778030337909,10.737787170410158,0.1660543892369244,,,,,,,,,,
cushion mp15 g0.05 w1.0 +usd th0.3 g0.0,15,0.05,1.0,0.3,0.0,11.491277127265928,0.18464501059767513,-0.14346091953594786,-0.2245718377216546,0.013891926076039063,9.860223388671876,0.1639870120031799,,,,,,,,,,
cushion mp15 g0.05 w1.0 +usd th0.3 g0.5,15,0.05,1.0,0.3,0.5,16.04746134757996,0.2834943388769531,-0.17142918230348858,-0.28783124860932424,-0.00042635606150576155,10.531014709472657,0.16215923979841085,,,,,,,,,,
cushion mp15 g0.05 w1.0 +usd th0.35 g0.0,15,0.05,1.0,0.35,0.0,16.047575693130497,0.28467062310469426,-0.17569338806423895,-0.30456012063865084,0.043259552972987336,10.268891601562501,0.18024579461601786,,,,10.475420227050783,0.18013063159367682,10.300590209960937,0.17238859121629146,0.17758833914199537,,
cushion mp15 g0.05 w1.0 +usd th0.35 g0.5,15,0.05,1.0,0.35,0.5,11.922394156455994,0.20697842539818878,-0.14873391161851968,-0.23519980524512915,0.03476658995109294,10.268891601562501,0.18126495441565105,11.922394156455994,0.26456514303885714,-0.11844986042830996,10.424458618164063,0.17672036586185103,10.268891601562501,0.18126495441565105,0.17975009156438437,28.0,0.22137225829166032
