dly,n,dropped,pool_diff,emp_k,emp_cagr,emp_p95,rob_s0,is_rob_cagr,oos_rob_cagr,oos_rob_dd,oos_emp_dd
4,1153,61,0.02908349164017167,10.543572235107423,0.321444555281845,-0.29109089125821586,0.20138631390098638,0.2084815719887967,0.2647866568260868,-0.14148301873227975,-0.2111234812283148
5,1109,105,-0.2624606075582563,10.958561120033263,0.279072318640335,-0.3037010830176701,0.1688410726733911,0.18237643988887808,0.21160282259059637,-0.13646543806951394,-0.21646258352101122
6,1071,143,-0.3245619468196067,9.747232327461244,0.23891031787274564,-0.2722543526281613,0.162832262674951,0.15639606668873052,0.20926028744757175,-0.13100135981249217,-0.23412664234576352
