bin,n,diff_sum,ret0_sum,dropped,diff_share
<=-2%,85,0.1191120516149532,-1.4265303770587718,0,2.219929962763174
-2..-1%,188,0.10764158069410534,-0.8641881849201708,0,2.006151073566397
-1..-0.5%,228,0.18173397921117573,0.23555274168397589,0,3.3870351507942775
-0.5..-0.25%,210,0.10505868419476594,0.8303369845011362,0,1.9580127932508573
-0.25..0%,296,-0.035984068906141586,1.6243738731018942,0,-0.6706467705309013
=0,207,-0.4239064567562337,1.5090400679250315,7,-7.900482209843806
