k_rob_s0,is_rob_s0,oos_rob_s0,k_rob_s1,is_rob_s1,oos_rob_s1,k_rob_s2,is_rob_s2,oos_rob_s2,k_emp,is_emp,oos_emp,oos_emp_dd,split,cfg
8.302114868164061,0.24446054551384733,0.25979313876595267,8.999240417480468,0.2669508565231211,0.28379423693253747,8.84513641357422,0.26195212742633345,0.2784583599119397,15.75629789829254,0.5016619529552615,0.5351449667665633,-0.3337351717902358,2020,base
7.212658081054686,0.24486051676631737,0.2641611479012085,7.851994628906249,0.26865652691132924,0.28994661116468956,7.634249572753905,0.260512505355627,0.2811195834668445,13.915149760246276,0.5123044267348553,0.5549806141786133,-0.3593836270764491,2020,pyr0.005
6.325828552246094,0.2500386019528771,0.26464895720767956,6.955167846679688,0.2773940705550455,0.29365064438721933,6.542354431152344,0.25939787201676423,0.27457047926407996,12.031665692329405,0.5155157634089118,0.5464278133818548,-0.3489072234554963,2020,pyr0.003
7.519159240722654,0.2133421235068078,0.24142757741020682,7.724712524414062,0.2195921920122461,0.24865566226440117,7.511356506347655,0.21310531942899535,0.24115388796440618,13.840867576599123,0.4160643517715008,0.4801983786312469,-0.29812391380632774,2021,base
6.5389407348632815,0.2192158261007806,0.24173198551795538,6.760587158203125,0.22719229302186839,0.25070875498995004,6.611847534179688,0.2218355143138806,0.24467883584285133,12.300520944595336,0.4386134034649254,0.49305124336646156,-0.3233614423269534,2021,pyr0.005
5.616023559570312,0.2178773411162993,0.23678409707513892,5.880341186523436,0.22889018701323383,0.24898205774244286,5.811091918945312,0.22599817012596435,0.24577673915448206,11.384518790245053,0.47430913840871125,0.5262743745817111,-0.33276981523334836,2021,pyr0.003
6.487491455078125,0.15536610254819716,0.24655925861490346,6.476031188964843,0.15507906587708464,0.24608017980940922,6.454085998535156,0.15452954531016205,0.24516324785002386,10.845013809204103,0.26771891074524823,0.4409057601939299,-0.1879162496245963,2022,base
5.730382385253906,0.16245591177346808,0.2505299610480505,5.6655221557617175,0.16053020676236485,0.24741097712820181,5.691124877929687,0.1612901153090156,0.24864133855516402,9.455487022399904,0.2763958882763433,0.44152939861504503,-0.19975419318855492,2022,pyr0.005
5.063004760742188,0.16607976266029212,0.25336622822963784,4.989366455078125,0.16354778996016117,0.2493123860359292,5.03520751953125,0.165123580256888,0.2518346222018717,8.134287500381468,0.2747463495294935,0.4329899696346893,-0.19052593812948404,2022,pyr0.003
6.01835205078125,0.15955417189468024,0.21977712313965303,6.252677917480469,0.1661160577034546,0.22911738097182455,6.081505432128905,0.1613200575315179,0.2222883735952721,8.89479883670807,0.24195148085834495,0.3387784047080227,-0.155684262880305,2023,base
5.236859436035157,0.16181501751560323,0.22235488013496307,5.5170263671874995,0.17096343511533618,0.23537262225193456,5.273434753417968,0.16300645781887946,0.22404754487834388,7.197151670455931,0.22689050800711708,0.31598800871919597,-0.14291372197175667,2023,pyr0.005
4.6555557250976545,0.16869316805463885,0.22116414086102587,4.758454284667968,0.1726355352077822,0.2264947832673414,4.7282186889648425,0.17147614076176976,0.2249263538735351,6.443425817489624,0.23853333264166676,0.31668422194133994,-0.1527633521299524,2023,pyr0.003
