P,emp_cagr,emp_p95,rob_mean3,worst_year,oos_emp_cagr
2.0,0.2382524100959577,-0.2935487720869987,0.1498343650232133,0.0624877802960521,0.3249668119070343
2.25,0.2448923264071836,-0.2944057453530427,0.1532247123646289,0.0598412512789452,0.3356898354749791
2.5,0.2509545487569791,-0.2949799015830835,0.157468091539359,0.0571679670985036,0.346769313616859
2.75,0.2567505993267591,-0.2943855978837801,0.161196920999956,0.0544653360567095,0.3578652046415991
3.0,0.262293188337388,-0.2941191278095883,0.1636385669948391,0.0524376522123868,0.3687045998628073
3.5,0.270340424469647,-0.2939822367587469,0.1679195515915296,0.050621291573123,0.3866302125288705
4.0,0.2762786423412764,-0.2923197771990058,0.1720568145382843,0.0468862692612279,0.3804960162012754
inf(step),0.2472165208658359,-0.2763612696302956,0.1658447944433499,-0.054131779179242,0.3223009610714071
z_p4.5,0.2799008237409826,-0.29158361771631175,0.17431067061462882,0.04286504416532866,0.3718182564957939
z_p5.0,0.28109488696128104,-0.28859045154507423,0.1764387673438915,0.034455047834345276,0.3617091095914895
z0_2.0_p4,0.2542147291080379,-0.2788988611521713,0.16962903089076753,0.043529253987479866,0.36894997357824133
z0_2.4_p4,0.29311394987552664,-0.31140373198859905,0.16881748135051478,0.041973822187785004,0.39356584343368795
